polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Port Germein,138.001413,Stuart, ;  Assisted Wheelchair Access,Port Germein District Hall,,FALSE,High Street PORT GERMEIN SA,,SA,-33.017274,FALSE,FALSE,,,,,,,,,
Newton,138.674578,Morialta, ;  Full Wheelchair Access,St Francis of Assisi School,,FALSE,57 Newton Road NEWTON SA,,SA,-34.882453,FALSE,FALSE,,,,,,,,,
Largs Bay Central,138.4959668,Lee, ;  Full Wheelchair Access,St Albans Anglican Church,,FALSE,Jetty Rd LARGS BAY SA,,SA,-34.8258153,FALSE,FALSE,,,,,,,,,
Bordertown,140.7728735,MacKillop, ;  Full Wheelchair Access,Bordertown High School,,FALSE,30 South Tce BORDERTOWN SA,,SA,-36.3128086,FALSE,FALSE,,,,,,,,,
Renown Park,138.5824716,Croydon, ;  Assisted Wheelchair Access,Brompton Primary School,,FALSE,Napier St RENOWN PARK SA,,SA,-34.8943596,FALSE,FALSE,,,,,,,,,
Keith,140.3531433,MacKillop, ;  Full Wheelchair Access,Keith Area School,,FALSE,Tolmer Tce KEITH SA,,SA,-36.0993722,FALSE,FALSE,,,,,,,,,
Tantanoola,140.4538099,MacKillop, ;  Assisted Wheelchair Access,Tantanoola Primary School,,FALSE,Randall St TANTANOOLA SA,,SA,-37.6976123,FALSE,FALSE,,,,,,,,,
Parawa,138.3303529,Finniss, ;  Full Wheelchair Access,Parawa Recreation Centre,,FALSE,1541 Range Rd PARAWA SA,,SA,-35.5588857,FALSE,FALSE,,,,,,,,,
Paringa,140.7940513,Chaffey, ;  Assisted Wheelchair Access,Paringa Murtho War Memorial Hall,,FALSE,Sturt Hwy PARINGA SA,,SA,-34.1833765,FALSE,FALSE,,,,,,,,,
Park Holme South,138.555297,Elder, ;  Full Wheelchair Access,Ascot Park Primary School,,FALSE,1-37 Pildappa Ave PARK HOLME SA,,SA,-34.990607,FALSE,FALSE,,,,,,,,,
Parkside,138.619851,Unley,Gym;  Full Wheelchair Access,Parkside Primary School,,FALSE,12 Robsart St PARKSIDE SA,,SA,-34.944179,FALSE,FALSE,,,,,,,,,
Paradise,138.672396,Morialta, ;  Full Wheelchair Access,Il Nido Children's Centre,,FALSE,22 Campbell Road PARADISE SA,,SA,-34.873789,FALSE,FALSE,,,,,,,,,
Paradise East,138.684909,Morialta,access by George and Harris Streets;  Full Wheelchair Access,Paradise Primary School,,FALSE,100 George St PARADISE SA,,SA,-34.87067,FALSE,FALSE,,,,,,,,,
Paradise West,138.660516,Hartley,enter from either Lincoln Road or Pam Street.;  Full Wheelchair Access,Paradise Kindergarten,,FALSE,21A Lincoln Rd PARADISE SA,,SA,-34.870808,FALSE,FALSE,,,,,,,,,
Paralowie West,138.5944612,Taylor, ;  No Wheelchair Access,Settlers Farm Campus,,FALSE,23 Barassi St PARALOWIE SA,,SA,-34.7564969,FALSE,FALSE,,,,,,,,,
Parndana,137.2640254,Finniss, ;  Assisted Wheelchair Access,Soldier Settlement Museum,,FALSE,Cnr Wedgewood Rd & Rowland Hill Hwy PARNDANA SA,,SA,-35.7928778,FALSE,FALSE,,,,,,,,,
Pasadena,138.587263,Waite, ;  Assisted Wheelchair Access,Pasadena High School,,FALSE,Daws Rd PASADENA SA,,SA,-34.9923126,FALSE,FALSE,,,,,,,,,
Belair,138.625428,Waite, ;  Full Wheelchair Access,Belair School,,TRUE,45-83 Main Rd BELAIR SA,,SA,-35.00373,FALSE,FALSE,,,,,,,,,
Ethelton,138.4953247,Lee, ;  Full Wheelchair Access,Portlife Church,,FALSE,1 Causeway Rd ETHELTON SA,,SA,-34.8514928,FALSE,FALSE,,,,,,,,,
Netley,138.5463817,West Torrens, ;  Assisted Wheelchair Access,Netley Kindergarten,,FALSE,Comet Ave NETLEY SA,,SA,-34.9542254,FALSE,FALSE,,,,,,,,,
Salisbury Park,138.6712568,Little Para, ;  Assisted Wheelchair Access,Salisbury Park Primary School,,FALSE,Wildwood Dr SALISBURY PARK SA,,SA,-34.7587905,FALSE,FALSE,,,,,,,,,
Bradbury,138.7239014,Heysen, ;  Full Wheelchair Access,Longwood Hall,,FALSE,Longwood Rd BRADBURY SA,,SA,-35.0539554,FALSE,FALSE,,,,,,,,,
Curramulka,137.7112343,Goyder, ;  Assisted Wheelchair Access,Curramulka Institute,,FALSE,Main St CURRAMULKA SA,,SA,-34.6975671,FALSE,FALSE,,,,,,,,,
Hawker,138.42316,Giles, ;  Full Wheelchair Access,Hawker Institute Hall,,FALSE,Elder Tce HAWKER SA,,SA,-31.8896482,FALSE,FALSE,,,,,,,,,
Alford,137.821646,Frome, ;  Assisted Wheelchair Access,Alford Hall,,FALSE,High St ALFORD SA,,SA,-33.815731,FALSE,FALSE,,,,,,,,,
Purnong,139.6182931,Chaffey, ;  Full Wheelchair Access,Purnong District Hall,,FALSE,Forster St PURNONG SA,,SA,-34.8538765,FALSE,FALSE,,,,,,,,,
Two Wells,138.5396081,Goyder, ;  Full Wheelchair Access,Two Wells Primary School,,FALSE,Gawler Rd TWO WELLS SA,,SA,-34.5925659,FALSE,FALSE,,,,,,,,,
Salisbury North,138.635396,Ramsay, ;  Assisted Wheelchair Access,Salisbury North R-7 School,,FALSE,38 Bagster Rd SALISBURY NORTH SA,,SA,-34.753208,FALSE,FALSE,,,,,,,,,
Belair,138.625428,Davenport, ;  Full Wheelchair Access,Belair School,,TRUE,45-83 Main Rd BELAIR SA,,SA,-35.00373,FALSE,FALSE,,,,,,,,,
Mundulla,140.6929197,MacKillop, ;  Assisted Wheelchair Access,Mundulla Primary School,,FALSE,Cnr Hinge & Kennedy Sts MUNDULLA SA,,SA,-36.3584166,FALSE,FALSE,,,,,,,,,
Munno Para,138.6850781,Napier,via Douglas Drive;  Full Wheelchair Access,Mark Oliphant College,,FALSE,99 Douglas Dr MUNNO PARA SA,,SA,-34.6738411,FALSE,FALSE,,,,,,,,,
