stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,ess_stall_url,ess_stall_id,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,polling_place_type,booth_info,opening_hours,address,premises,polling_place_name,division,state
"sausages, bread rolls, drinks, sauce",116.00989,FALSE,FALSE,FALSE,TRUE,,,2017-03-08 15:51:37.304628+00,2017-03-08 15:51:37.304628+00,,-32.12035,Kelmscott SHS Fundraiser,,,{},Public School,,,"50 Third Avenue, KELMSCOTT WA 6111",Armadale,Kelmscott Senior High School,Armadale,WA
"Hot Dogs, Drinks and Cake Stall",115.75742,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 23:39:16.352646+00,2017-03-08 23:39:16.352646+00,,-31.77422,Beldon PS P&C Sausage Sizzle and Year 6 Cake Stall,,,{},Public School,,,"10 Pacific Way, BELDON WA 6027",Joondalup,Beldon Primary School,Joondalup,WA
,115.78257,FALSE,FALSE,TRUE,TRUE,,,2017-03-10 23:49:23.508642+00,2017-03-09 07:33:59.148952+00,,-32.12115,,,User-Submitted,{},Private School,,,"38 Troode Street, MUNSTER WA 6166",Cockburn,St Jerome's School,Cockburn,WA
"sausages in roll, drinks, cakes, coffee",115.79772,FALSE,FALSE,TRUE,TRUE,,,2017-03-09 07:24:20.998514+00,2017-03-09 07:24:20.998514+00,,-31.99638,sausage sizzle & cake stall,,User-Submitted,"{""has_coffee"":true,""has_vego"":true}",Public School,,,"44 Circe Circle, DALKEITH WA 6009",Nedlands,Dalkeith Primary School,Nedlands,WA
,115.9924,FALSE,FALSE,FALSE,TRUE,,,2017-03-10 23:57:02.046559+00,2017-03-10 23:57:02.046559+00,,-32.1408,,,Twitter,{},Public School,,,"39 Seville Drive, SEVILLE GROVE WA 6112",Armadale,Cecil Andrews Senior High School,Armadale,WA
"Bacon and Egg Burgers, Sausage Sizzle, Drinks, Cake stall for NASHS ASESC P&C",117.86263,FALSE,FALSE,TRUE,TRUE,,,2017-03-10 13:35:02.638602+00,2017-03-09 00:39:41.449971+00,,-34.99085,NASHS ASESC Sausage sizzle,,User-Submitted,"{""has_bacon_and_eggs"":true}",Public School,,,"47 Anson Road, ORANA WA 6330",Albany,North Albany Senior High School,Albany,WA
"Sausages, drinks, cakes, muffins, slice, biscuits",117.867267,FALSE,FALSE,TRUE,TRUE,,,2017-03-10 09:30:07.894868+00,2017-03-10 09:30:07.894868+00,,-35.066645,Little Grove Primary School P&C Sausage Sizzle and Cake Stall,,,{},Public School,,,"33 Gordon Street, LITTLE GROVE WA 6330",Albany,Little Grove Primary School,Albany,WA
,117.8828,FALSE,TRUE,FALSE,FALSE,,,2017-03-11 04:38:46.854605+00,2017-03-11 04:38:46.854605+00,,-35.02377,,,Democracy Sausage Headquarters,{},Senior Citizens Centre,,,"122 Grey Street West, ALBANY WA 6330",Albany,Albany Senior Citizens Centre,Albany,WA
,117.88208,FALSE,FALSE,FALSE,FALSE,,,,,,-35.01046,,,,,Community Hall,,,"77 Sanford Road, CENTENNIAL PARK WA 6330",Albany,Albany PCYC,Albany,WA
,117.89078,FALSE,FALSE,FALSE,FALSE,,,,,,-35.01821,,,,,Public School,,,"Suffolk Street, MOUNT CLARENCE WA 6330",Albany,Albany Primary School,Albany,WA
,117.94353,FALSE,FALSE,FALSE,FALSE,,,,,,-34.99427,,,,,Community Hall,,,"Swarbrick Street, EMU POINT WA 6330",Albany,Albany Sea Rescue Hall,Albany,WA
,115.82798,FALSE,TRUE,FALSE,FALSE,,,2017-03-11 05:23:03.451267+00,2017-03-11 05:23:03.451267+00,,-31.8811,,,,{},Public School,,,"Balcatta Primary School, 387 Main Street, BALCATTA WA 6021",Balcatta,Balcatta Primary School,Balcatta,WA
