"lon","lat","polling_place_name","address","state","premises","wheelchairaccess","entrancesdesc","division"
"146.174","-41.2135","Abbotsham","590 Castra Rd, ABBOTSHAM, 7315","TAS","Abbotsham Hall","None","Main entrance, Castra Rd","Braddon"
"145.89229","-41.07264","Acton","36 Thorne St, ACTON, 7320","TAS","Burnie Child and Family Centre","Assisted","Main entrance","Braddon"
"145.636","-40.9452","Boat Harbour","17386 Bass Hwy, BOAT HARBOUR, 7321","TAS","Boat Harbour Primary School","Assisted","Main entrance","Braddon"
"145.906","-41.0532","Burnie","80 Wilson St, BURNIE, 7320","TAS","Burnie City Council Offices","Assisted","Main entrance, Wilson Street","Braddon"
"145.631","-41.0685","Calder","1320 Calder Rd, CALDER, 7325","TAS","Calder Hall","None","Main entrance, Calder Rd","Braddon"
"145.86801","-41.04076","Cooee","Fidler St, COOEE, 7320","TAS","Cooee Primary School","Assisted","Entrance to Polling Place: Entrance to Multi Purpose Room Entrance to Grounds: Via Fidler St off-street parking Via Fidler St child safety gate","Braddon"
"143.855","-39.9298","Currie","Cnr Meech & George Sts, CURRIE, 7256","TAS","Currie Town Hall","Assisted","Entrance to Polling Place: Side entrance  to Town Hall foyer Main Council Chambers entrance will be locked","Braddon"
"146.344","-41.1737","Devonport","11 Addison St, DEVONPORT, 7310","TAS","Addison Street Scout Hall","Assisted","Main entrance, Addison St","Braddon"
"146.358","-41.1789","Devonport Central","Fenton St, DEVONPORT, 7310","TAS","St Johns Parish Hall","Assisted","Main entrance, Fenton St","Braddon"
"146.337","-41.1728","Devonport North West","60 Nixon St, DEVONPORT, 7310","TAS","Nixon Street Primary School","Assisted","Entrance to Polling Place: Main entrance to Multi Purpose Room Entrance to Grounds: Via Gate in Nixon St Via Driveway in Parker St","Braddon"
"146.349","-41.1893","Devonport South","41-43 Middle Rd, DEVONPORT, 7310","TAS","Reece High School","Assisted","Entrance to Polling Place: Double doors entrance to Administration Building Entrance to Grounds: Carpark entrances off Middle Rd","Braddon"
"146.345","-41.1864","Devonport West","20-36 Valley Rd, DEVONPORT, 7310","TAS","TasTafe","Assisted","Entrance to Polling Place: Automatic glass door entrance to building Entrance to Grounds: Via Footpath and Car Park off Valley Road","Braddon"
"146.318","-41.1827","Don","17 Forth Rd, DON, 7310","TAS","Don Memorial Hall","Assisted","Main entrance, Forth Rd","Braddon"
"146.372","-41.1779","East Devonport","19-21 Thomas St, EAST DEVONPORT, 7310","TAS","East Devonport Primary School","Assisted","Entrance to Polling Place: Main entrance  to Multi Purpose Room Entrance to Grounds: Via Footpath and Car Park from Thomas St Via Gate from Drew St","Braddon"
"145.092","-40.9705","Edith Creek","1282 Trowutta Rd, EDITH CREEK, 7330","TAS","Edith Creek Primary School","Assisted","Main entrance to School Administration Building","Braddon"
"145.782","-41.0922","Elliott","829 Murchison Hwy, ELLIOTT, 7325","TAS","Elliott Community Centre","Assisted","Main entrance, Murchison Hwy","Braddon"
