"lon","lat","polling_place_name","address","state","premises","wheelchairaccess","entrancesdesc","division"
"138.74951","-35.01876","Aldgate","3 Fairview Rd, ALDGATE, 5154","SA","Aldgate Primary School","Full","Main door to Gym","Mayo"
"137.778884","-35.773603","American River","Ryberg Rd, AMERICAN RIVER, 5221","SA","American River Community Hall","Assisted",,"Mayo"
"138.768","-35.2885","Ashbourne","14 Ashbourne Rd, ASHBOURNE, 5157","SA","Eastern Fleurieu School (Ashbourne Campus)","Assisted","Main door under verandah","Mayo"
"138.9589","-34.81977","Birdwood","Shannon St, BIRDWOOD, 5234","SA","Birdwood Primary School","Assisted","Main door to Gym Entrance to grounds via Pflaum St","Mayo"
"138.76143","-35.00428","Bridgewater","46 Morella Gr, BRIDGEWATER, 5155","SA","Bridgewater Primary School","Assisted","Main door to Gym","Mayo"
"138.942118","-35.002388","Brukunga","Pyrites Rd, BRUKUNGA, 5252","SA","Brukunga Community Association","Assisted","Side entrance to Hall","Mayo"
"139.039224","-35.113581","Callington","9-13 Callington Rd, CALLINGTON, 5254","SA","Callington Memorial Hall","Assisted","Main door to Hall","Mayo"
"138.902078","-34.916059","Charleston","Newman Rd, CHARLESTON, 5244","SA","Charleston Memorial Hall","Assisted","Main door to Hall","Mayo"
"138.65358","-35.0635","Cherry Gardens","312 Cherry Gardens Rd, CHERRY GARDENS, 5157","SA","Cherry Gardens Memorial Hall","Assisted","Main door to Hall","Mayo"
"138.628707","-35.108851","Clarendon","82 Grants Gully Rd, CLARENDON, 5157","SA","Clarendon Community Hall","Assisted","Main door to hall","Mayo"
"138.625939","-35.033089","Coromandel Valley","339 Main Rd, COROMANDEL VALLEY, 5051","SA","Coromandel Valley Primary School","Assisted",,"Mayo"
"138.71278","-34.99365","Crafers","55 Piccadilly Rd, CRAFERS, 5152","SA","Crafers Primary School","Assisted","Main door to Gym","Mayo"
"138.816","-34.8399","Cudlee Creek","4 Redden Dr, CUDLEE CREEK, 5232","SA","Cudlee Creek Soldiers Memorial Hall","Assisted","Main door to Hall.","Mayo"
"138.766","-35.4469","Currency Creek","2836 Alexandrina Rd, CURRENCY CREEK, 5214","SA","Currency Creek Community Hall","Assisted","Main door to Hall","Mayo"
"138.195069","-35.57182","Delamere","8495 Main South Rd, YANKALILLA, 5204","SA","St James Anglican Church","Assisted","Main door to Hall","Mayo"
"138.791","-35.0978","Echunga","802 Echunga Rd, ECHUNGA, 5153","SA","Echunga Primary School","Assisted","Main door to Activity Room. 2 entrance points to grounds, 1 via the carpark and 1 via Echunga rd","Mayo"
"138.898752","-34.797841","Forreston","231 Forreston Rd, FORRESTON, 5233","SA","Forreston Memorial Hall","Assisted","Main door to Hall","Mayo"
"138.78","-35.4979","Goolwa","4 Gardiner St, GOOLWA, 5214","SA","Goolwa Primary School","Assisted","Main door to Gym Entrance to grounds via gate on Gardiner St and walkway through Cadel St","Mayo"
"138.779","-35.5044","Goolwa Central","1 Collingwood St, GOOLWA, 5214","SA","Goolwa Uniting Church","Assisted","Main door to hall Entrance to grounds via rear of the Hall and Collingwood St","Mayo"
"138.885445","-34.821821","Gumeracha","45 Albert St, GUMERACHA, 5233","SA","Gumeracha Town Hall","Assisted",,"Mayo"
"138.81359","-35.03391","Hahndorf","10 Mount Barker Rd, HAHNDORF, 5245","SA","St Paul's Lutheran Church","Assisted","Main Door to Hall","Mayo"
