StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
"2","NSW","Banks","103","1","Allawah","Current","P J Ferry Hall","cnr Bellevue Pde & Blakesley Rd","","","ALLAWAH","NSW","2218","31","P J Ferry Hall","cnr Bellevue Pde & Blakesley Rd","ALLAWAH","","","Blakesley Rd Bellevue Pde","-33.9767897","151.1148974","1137911","Assisted","1443","211","4","2"
"2","NSW","Banks","103","1","Allawah South","Current","St Raphael's Church Hall","84 George St","","","SOUTH HURSTVILLE","NSW","2221","67","St Raphael's Church Hall","84 George St","SOUTH HURSTVILLE","","","George St","-33.9756000","151.1110000","1137414","Assisted","997","106","3","1"
"2","NSW","Banks","103","1","Beverly Hills North (Banks)","Current","Beverly Hills North Public School","1-3 Shorter Ave","","","BEVERLY HILLS","NSW","2209","56500","Beverly Hills North Public School","1-3 Shorter Ave  ","BEVERLY HILLS","","","Entrance:Shorter Ave","-33.9413000","151.0750000","1136705","Assisted","382","0","1","0"
"2","NSW","Banks","103","1","Beverly Hills South (Banks)","Current","Beverly Hills Public School","cnr Stoney Creek & King Georges Rds","","","BEVERLY HILLS","NSW","2209","79612","Public School","cnr Stoney Creek & King Georges Rds","BEVERLY HILLS","","","King Georges Rd","-33.9528000","151.0850000","1136837","Full","733","0","2","0"
"2","NSW","Banks","103","1","Blakehurst North","Current","Blakehurst High School","270A Woniora Rd","","","BLAKEHURST","NSW","2221","46","High School","270A Woniora Rd","BLAKEHURST","","","Woniora Rd","-33.9814000","151.1130000","1137447","Assisted","502","201","2","2"
"2","NSW","Banks","103","1","Carlton South (Banks)","Current","Carlton South Public School","Jubilee Ave","","","CARLTON","NSW","2218","56472","Public School","Jubilee Ave","CARLTON","","Jubilee Ave & Ecole St","Jubilee Ave Ecole St","-33.9727000","151.1280000","1137908","Assisted","1456","252","4","3"
"2","NSW","Banks","103","1","Carlton West","Current","St Cuthbert's Church Hall","34 Park Rd","","","CARLTON","NSW","2218","65","St Cuthbert's Church Hall","34 Park Rd","CARLTON","","","Park Rd","-33.9763447","151.1206652","1137918","Assisted","1266","219","4","2"
"2","NSW","Banks","103","1","Connells Point (Banks)","Current","Connells Point Public School","Riverview Ave","","","CONNELLS POINT","NSW","2221","42","Public School","Riverview Ave","CONNELLS POINT","","","Riverview Ave","-33.9855000","151.1000000","1137444","Assisted","2194","143","6","2"
"2","NSW","Banks","103","1","East Hills","Current","1st East Hills Scout Hall","629 Henry Lawson Dr","","","EAST HILLS","NSW","2213","2","1st East Hills Scout Hall","629 Henry Lawson Dr","EAST HILLS","","","MacLaurin Ave","-33.9611817","150.9820540","1135904","None","1344","192","4","2"
"2","NSW","Banks","103","1","Hurstville (Banks)","Current","Hurstville Senior Citizens Centre","91 Queens Rd","","","HURSTVILLE","NSW","2220","79613","Senior Citizens Centre","91 Queens Rd","HURSTVILLE","","","Queens Rd","-33.9642000","151.1020000","1136831","Full","424","0","2","0"
"2","NSW","Banks","103","1","Hurstville East (Banks)","Current","Hurstville Public School","Forest Rd","","","HURSTVILLE","NSW","2220","79614","Public School","Forest Rd","HURSTVILLE","","","Forest Rd Orange St","-33.9641000","151.1110000","1136836","Assisted","312","0","1","0"
"2","NSW","Banks","103","1","Hurstville Grove","Current","Hurstville Grove Infants School","81 Lansdowne St","","","PENSHURST","NSW","2222","45","Hurstville Grove Infants School","81 Lansdowne St","PENSHURST","","","Lansdowne St","-33.9729154","151.0909386","1137120","Assisted","1891","88","5","1"
"2","NSW","Banks","103","1","Hurstville South","Current","Hurstville South Public School","Maher St","","","HURSTVILLE","NSW","2220","43","Hurstville South Public School","Maher St","HURSTVILLE","","","Maher St","-33.9726000","151.0990000","1137412","Assisted","1145","115","3","1"
"2","NSW","Banks","103","1","Lugarno","Current","Lugarno Public School","Old Forest Rd","","","LUGARNO","NSW","2210","4","Public School","Old Forest Rd","LUGARNO","","","Old Forest Rd","-33.9850150","151.0454806","1137236","Assisted","2926","130","8","2"
"2","NSW","Banks","103","1","Mortdale Central","Current","Mortdale Community Centre","2b Boundary Rd","","","MORTDALE","NSW","2223","55","Mortdale Community Centre","2b Boundary Rd","MORTDALE","","","","-33.9748397","151.0781603","1136903","Full","1947","133","5","2"
"2","NSW","Banks","103","1","Mortdale East","Current","Mortdale Public School","Coleborne Ave","","","MORTDALE","NSW","2223","56","Public School","Coleborne Ave","MORTDALE","","","Coleborne Ave","-33.9727000","151.0810000","1137129","Assisted","1770","132","5","2"
"2","NSW","Banks","103","1","Mortdale West","Current","Penshurst West Public School","Scott St","","","MORTDALE","NSW","2223","5","Penshurst West Public School","Scott St","MORTDALE","","","Scott St","-33.9615619","151.0731878","1136912","Assisted","2085","171","6","2"
"2","NSW","Banks","103","1","Narwee","Current","Narwee Public School","61-65 Broad Arrow Rd","","","NARWEE","NSW","2209","6","Public School","61-65 Broad Arrow Rd","NARWEE","","","Broad Arrow Rd","-33.9482000","151.0690000","1137013","Assisted","2655","233","8","3"
"2","NSW","Banks","103","1","Oatley","Current","Oatley Public School","Neville St","","","OATLEY","NSW","2223","58","Public School","Neville St","OATLEY","","","Neville St","-33.9847000","151.0810000","1137111","Assisted","2006","225","6","2"
"2","NSW","Banks","103","1","Oatley East","Appointment","Oatley Anglican Church Hall","57 Rosa St","","","OATLEY","NSW","2223","83630","Oatley Anglican Church Hall","57 Rosa St","OATLEY","","","","-33.9841934","151.0823710","1137114","Assisted","866","121","3","2"
"2","NSW","Banks","103","1","Oatley West","Current","Oatley West Public School","Oatley Park Ave","","","OATLEY","NSW","2223","59","Oatley West Public School","Oatley Park Ave","OATLEY","","","Oatley Park Ave","-33.9796000","151.0650000","1136916","Assisted","2630","127","7","2"
"2","NSW","Banks","103","1","Padstow","Current","Padstow Park Public School","Segers Ave","","","PADSTOW","NSW","2211","7","Padstow Park Public School","Segers Ave","PADSTOW","","","Segers Ave Faraday Rd","-33.9542000","151.0310000","1135816","Assisted","2065","355","6","3"
"2","NSW","Banks","103","1","Padstow Central","Appointment","Padstow Congregational Church Hall","59 Faraday Rd","","","PADSTOW","NSW","2211","83624","Padstow Congregational Church Hall","59 Faraday Rd","PADSTOW","","","","-33.9557200","151.0317070","1135814","Assisted","1183","241","3","3"
