state,polling_place_name,premises,division,address,lon,lat
VIC,Balwyn,Balwyn Baptist Church,Box Hill District,"517 Whitehorse Road, Surrey Hills, 3127",145.0904466,-37.81372409
VIC,Apollo Bay,Apollo Bay Senior Citizens Centre,Polwarth District,"4 Whelan Street, Apollo Bay, 3233",143.666222,-38.754758
VIC,Eaglemont,Bellfield Community Centre,Ivanhoe District,"corner of Oriel Road and Banksia Street , Bellfield, 3081",145.0381928,-37.75625158
VIC,Spring Gully,Spring Gully Tennis Club,Bendigo East District,"Spring Gully Road, Spring Gully, 3550",144.2852629,-36.79164698
VIC,Darling,Caulfield Grammar School - Malvern,Malvern District,"Harold Avenue, Glen Iris, 3146",145.0524129,-37.86366614
VIC,Kooyong,H.A. Smith Reserve,"Malvern District, Hawthorn District","458 Glenferrie Road, Hawthorn, 3122",145.0333451,-37.83622348
VIC,Lyndhurst West,Lyndhurst Primary School,Cranbourne District,"70 Brookwater Parade, Lyndhurst, 3975",145.2541822,-38.07420318
VIC,Bass,Bass Valley Community Centre,Bass District,"2-4 Bass School Road, Bass, 3991",145.465275,-38.48451541
VIC,Red Cliffs,St Joseph's School Red Cliffs,Mildura District,"17 Fitzroy Avenue, Red Cliffs, 3496",142.188124,-34.302361
VIC,Yarrunga,Our Lady's Primary School,Ovens Valley District,"52-60 White Street, Wangaratta, 3677",146.3202943,-36.37259287
VIC,Newborough,Newborough Public Hall,Morwell District,"18 Balfour Street, Newborough, 3825",146.2917883,-38.18683726
VIC,Pakenham Lakeside,Pakenham Lakeside Primary School,Bass District,"23 Shearwater Drive, Pakenham, 3810",145.4392555,-38.06803892
VIC,Toorak,Toorak Uniting Church Hall,Malvern District,"603 Toorak Road, Toorak, 3142",145.019514,-37.841914
VIC,Edenhope,Senior Citizens Building,Lowan District,"54-56 Langford Street, Edenhope, 3318",141.299217,-37.036847
VIC,Sandringham,Sacred Heart Parish School,Sandringham District,"11 Fernhill Road (enter via Sandringham Road), Sandringham, 3191",145.0086266,-37.95148345
VIC,Blackburn South,St Luke's Roman Catholic School,Forest Hill District,"46 Orchard Grove, Blackburn South, 3130",145.1462147,-37.83548256
VIC,Rosebud,Rosebud Memorial Hall,Nepean District,"994 Point Nepean Road, Rosebud, 3939",144.9001599,-38.35633942
VIC,Findon,Findon Primary School,"Mill Park District, Bundoora District","5 Cuthbert Drive, Mill Park, 3082",145.0507609,-37.66649249
VIC,Preston South,Preston South Primary School,"Northcote District, Preston District","56b Hotham Street, Preston, 3072",145.0077637,-37.74796992
VIC,Eltham Woods,Eltham Woods Pre-School,Eltham District,"50a Frank Street, Eltham, 3095",145.167305,-37.707901
VIC,Balmoral,Balmoral Memorial Hall,Lowan District,"26 Glendinning Street, Balmoral, 3407",141.842177,-37.248662
