lon,lat,wheelchairaccess,polling_place_type,premises,address,polling_place_name,state
145.009,-37.762,Assisted wheelchair access,Public School,Wales St Primary School,"Wales St Primary School, 51 Wales St, THORNBURY, VIC 3071",Thornbury South,VIC
145.022,-37.7207,Assisted wheelchair access,,Reservoir East Primary School,"Reservoir East Primary School, Boldrewood Pde, RESERVOIR, VIC 3073",Boldrewood,VIC
145.003427,-37.786731,Assisted wheelchair access,,Spensley St Primary School,"Spensley St Primary School, 193 Spensley St, CLIFTON HILL, VIC 3068",Clifton Hill,VIC
145.049,-37.7143,Assisted wheelchair access,,Institute for Advanced Study,"Institute for Advanced Study, Main Dr, BUNDOORA, VIC 3083",Bundoora South,VIC
145.03,-37.6996,Assisted wheelchair access,,Northern School for Autism,"Northern School for Autism, 16-18 Gertz Ave, RESERVOIR, VIC 3073",Burbank,VIC
144.99,-37.7925,Assisted wheelchair access,Public School,Clifton Hill Primary School,"Clifton Hill Primary School, 185 Gold St, CLIFTON HILL, VIC 3068",Collingwood North (Batman),VIC
145.021,-37.7059,Assisted wheelchair access,,Reservoir Views Primary School,"Reservoir Views Primary School, St Vigeons Rd, RESERVOIR, VIC 3073",Reservoir North,VIC
144.99,-37.7225,Assisted wheelchair access,Public School,Reservoir West Primary School,"Reservoir West Primary School, Carrington Rd, RESERVOIR, VIC 3073",Reservoir West,VIC
145.018,-37.7294,Assisted wheelchair access,,Jubilee Hall Holy Name Parish,"Jubilee Hall Holy Name Parish, 28 Robb St, RESERVOIR, VIC 3073",Reservoir East,VIC
144.994,-37.7265,Assisted wheelchair access,,St Mark's Hall,"St Mark's Hall, Beatty Street, RESERVOIR, VIC 3073",Reservoir South,VIC
145.03,-37.7329,Assisted wheelchair access,Public School,Preston North East Primary School,"Preston North East Primary School, cnr Tyler & Ash Sts, PRESTON, VIC 3072",Preston North East,VIC
145.018,-37.7378,Assisted wheelchair access,Public School,The Pavilion School,"Preston East School, Sylvester Gr, PRESTON, VIC 3072",Preston East,VIC
145.005,-37.7182,Wheelchair accessible,Private School,St Gabriel's School,"St Gabriel's School, 237 Spring St, RESERVOIR, VIC 3073",Reservoir Central,VIC
145.003,-37.6964,Assisted wheelchair access,Public School,William Ruthven Secondary College,"William Ruthven Secondary College, Merrilands Rd, RESERVOIR, VIC 3073",Merrilands,VIC
144.989,-37.7742,Wheelchair accessible,Public School,Northcote High School,"Northcote High School, St Georges Rd, NORTHCOTE, VIC 3070",Northcote West,VIC
144.9999866,-37.7636696,Wheelchair accessible,Church,Northcote North Baptist Church Hall,"Northcote North Baptist Church Hall, 542 High St, NORTHCOTE, VIC 3070",Northcote North,VIC
144.996,-37.7828,Assisted wheelchair access,Church,Anglican Church All Saints Parish Hall,"Anglican Church All Saints Parish Hall, 12a High St, NORTHCOTE, VIC 3070",Westgarth,VIC
145.019,-37.7157,Assisted wheelchair access,Senior Citizens Centre,East Reservoir Senior Citizens Centre,"Reservoir Senior Citizens Centre, Strathmerton St, RESERVOIR, VIC 3073",Reservoir North East,VIC
144.996,-37.7375,Assisted wheelchair access,Public School,Preston West Primary School,"Preston West Primary School, Murray Rd, PRESTON, VIC 3072",Preston West,VIC
145.007,-37.7476,Assisted wheelchair access,Public School,Preston South Primary School,"Preston South Primary School, Hotham St, PRESTON, VIC 3072",Preston South,VIC
144.991,-37.7325,Wheelchair accessible,,St Raphael's Primary School Hall,"St Raphael's Primary School Hall, 78 Cooper St, PRESTON, VIC 3072",Regent West,VIC
145.032,-37.7836,Assisted wheelchair access,Public School,Alphington Primary School,"Alphington Primary School, Yarralea St, ALPHINGTON, VIC 3078",Alphington,VIC
145.015,-37.7546,Assisted wheelchair access,Public School,Penders Grove Primary School,"Penders Grove Primary School, Victoria Rd, THORNBURY, VIC 3071",Thornbury East,VIC
