source,lon,has_run_out,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,lat,state,polling_place_name,has_nothing,has_caek,address,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
,115.7897527,,Canning,Assisted access,South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station,8 - 6pm,,FALSE,,-32.5825085,WA,South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station,FALSE,FALSE,"South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station, Yunderup Rd, SOUTH YUNDERUP, Western Australia",,,,,,
,115.9259579,,Canning,Assisted access,Waroona Senior Citizens' Centre,8 - 6pm,,FALSE,,-32.8442328,WA,Waroona Senior Citizens' Centre,FALSE,FALSE,"Waroona Senior Citizens' Centre, Millar St, WAROONA, Western Australia",,,,,,
,116.0627296,,Canning,Assisted access,Bruno Gianatti Recreation Centre,8 - 6pm,,FALSE,,-32.338023,WA,Bruno Gianatti Recreation Centre,FALSE,FALSE,"Bruno Gianatti Recreation Centre, Munro St, JARRAHDALE, Western Australia",,,,,,
,116.1164035,,Canning,Assisted access,Karragullen District Hall,8 - 6pm,,FALSE,,-32.0859301,WA,Karragullen District Hall,FALSE,FALSE,"Karragullen District Hall, Old Station Rd, KARRAGULLEN, Western Australia",,,,,,
,115.6911196,,Canning,Assisted access,Lake Clifton Community Hall,8 - 6pm,,FALSE,,-32.8072722,WA,Lake Clifton Community Hall,FALSE,FALSE,"Lake Clifton Community Hall, Tuart Grove Ave, LAKE CLIFTON, Western Australia",,,,,,
08:38:00,116.0222457,FALSE,Canning,No,Clifton Hills Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.1031648,WA,Clifton Hills Primary School,TRUE,FALSE,"Clifton Hills Primary School, Connell Ave, KELMSCOTT, Western Australia",,,,,,
08:45:00,116.020648,FALSE,Canning,No,Kelmscott Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.119272,WA,Kelmscott Primary School,TRUE,FALSE,"Kelmscott Primary School, River Rd, KELMSCOTT, Western Australia",,,,,,
,115.7042925,FALSE,Canning,Assisted access,Glencoe Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5444692,WA,Glencoe Primary School,TRUE,FALSE,"Glencoe Primary School, Balmoral Pde, HALLS HEAD, Western Australia",,,,,,
12:55:00,115.6963069,FALSE,Canning,Assisted access,Halls Head Primary School,8 - 6pm,,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5508779,WA,Halls Head Primary School,FALSE,TRUE,"Halls Head Primary School, 21 Oleander Pl, HALLS HEAD, Western Australia",,,,,,
,115.6937789,FALSE,Canning,Assisted access,Metro Church,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5397453,WA,Metro Church,TRUE,FALSE,"Metro Church, McLarty Rd, HALLS HEAD, Western Australia",,,,,,
