polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Cudal,148.7403241,Calare,no wheelchair access,Cudal Public School,7 Sep 2013 8:00-18:00,FALSE,Toogong St   CUDAL NSW 2864,,NSW,-33.2873619,FALSE,FALSE,,,,,,,,,
Bluff,149.0687823,Flynn,no wheelchair access,Bluff State School,7 Sep 2013 8:00-18:00,FALSE,32 Main St   BLUFF QLD 4702,,QLD,-23.5820853,FALSE,FALSE,,,,,,,,,
Cobram,145.652,Murray,assisted wheelchair access,Cobram Civic Centre,7 Sep 2013 8:00-18:00,FALSE,14-20 Punt Rd COBRAM VIC 3644,,VIC,-35.9186,FALSE,FALSE,,,,,,,,,
Nyora,145.675,McMillan,assisted wheelchair access,Nyora Primary School,7 Sep 2013 8:00-18:00,FALSE,Grundy Ave   NYORA VIC 3987,,VIC,-38.3366,FALSE,FALSE,,,,,,,,,
Narrandera East,146.566,Riverina,assisted wheelchair access,Narrandera High School,7 Sep 2013 8:00-18:00,FALSE,Elizabeth St NARRANDERA NSW 2700,,NSW,-34.7435,FALSE,FALSE,,,,,,,,,
West Park,145.173,Flinders,no wheelchair access,Hastings West Park Primary School,7 Sep 2013 8:00-18:00,FALSE,Stalwart Ave   HASTINGS VIC 3915,,VIC,-38.298,FALSE,FALSE,,,,,,,,,
Wareemba,151.133484,Reid,assisted wheelchair access,All Hallows Catholic Primary School,8/9/13,TRUE,1 Halley St FIVE DOCK NSW 2046,,NSW,-33.861043,FALSE,FALSE,,,,,,,,,
Cradoc,147.034,Franklin,assisted wheelchair access,Cradoc Park,7 Sep 2013 8:00-18:00,FALSE,8427 Channel Hwy CRADOC TAS 7109,,TAS,-43.1064,FALSE,FALSE,,,,,,,,,
Wubin,116.6320359,Durack,assisted wheelchair access,Wubin Town Hall,7 Sep 2013 8:00-18:00,FALSE,Arthur St WUBIN WA 6612,,WA,-30.1068465,FALSE,FALSE,,,,,,,,,
Busselton,115.343468,Forrest,assisted wheelchair access,Churchill Park Pavilion,8/9/13,TRUE,Adelaide St BUSSELTON WA 6280,,WA,-33.649841,FALSE,FALSE,,,,,,,,,
