stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,wheelchairaccess,entrancesdesc,polling_place_type,booth_info,opening_hours,premises,address,polling_place_name,division,state,ess_stall_id,ess_stall_url
"Sausage on bread with onion, drinks, cakes",153.287,FALSE,FALSE,TRUE,TRUE,2016-07-02 03:54:49.432879+00,2016-07-02 03:54:49.432879+00,,-27.5951,Victoria Point State High School Sausage Sizzle,,,{},Assisted,Entrance through gates from carpark off Benfer Rd,Public School,,,Victoria Point High School,"Victoria Point High School, 93-137 Benfer Rd, VICTORIA POINT, QLD 4165",Victoria Point South,Bowman,QLD,3860,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3860/Victoria-Point-South/no
"Come on down a grab a sausage while voting and raise money for Zander! Sausages, onions and soft drinks on offer. There will also be raffles with prizes such as a $250 money tree and autographed Jonathon Thurston framed photo. ",146.765,FALSE,FALSE,FALSE,TRUE,2016-06-30 12:07:25.874059+00,2016-06-30 12:07:25.874059+00,,-19.2876,Zanders Fight Against Cancer - Sausage Sizzle,,,{},Assisted,Entrance to polling place: Entry to covered away outside room. Entrance to grounds: 1 - 2 gates in Palmerston St; 2 -gate in Hodges Cres.,State School,,,Vincent State School,"Vincent State School, 280 Palmerston St, VINCENT, QLD 4814",Vincent,Herbert,QLD,3735,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3735/Vincent/no
,144.934,FALSE,FALSE,FALSE,TRUE,2016-07-01 01:48:33.450332+00,2016-07-01 01:48:33.450332+00,,-37.6236,,,Twitter,{},Assisted,Entry from Southern Cross Dr,Private School,,,Good Samaritan Catholic School,"Good Samaritan Catholic School, 1-29 Southern Cross Drive, ROXBURGH PARK, VIC 3064",Somerton,Calwell,VIC,,
,151.459,FALSE,FALSE,FALSE,FALSE,,,,-32.8133,,,,,Assisted,Entry from Station St.,,,,Weston Civic Centre,"Weston Civic Centre, Station St, WESTON, NSW 2326",Weston,Paterson,NSW,,
,148.36752,FALSE,FALSE,FALSE,FALSE,,,,-34.5544,,,,,Assisted,Entry from East St,,,,Kruger Centre,"Kruger Centre, 10 East St, HARDEN, NSW 2587",Harden,Riverina,NSW,,
"Superb bacon and eggs, sausages and onion, all on crispy-fresh bread rolls. Add some sauce to complete your ensemble. Fabulous homemade cakes, biscuits and slices as well.  Drinks too!",151.13,FALSE,FALSE,TRUE,TRUE,2016-06-30 14:23:54.072577+00,2016-06-25 07:46:42.417502+00,,-33.8528,Abbotsford Public School Community Stall     ,,,"{""has_coffee"":true,""has_bacon_and_eggs"":true}",Assisted,"Entrances: Main gate Great North Rd, Raynor Ave and Blackwall Point Rd gates will be closed",Public School,,,Abbotsford Public School,"Abbotsford Public School, 350 Great North Rd, ABBOTSFORD, NSW 2046",Abbotsford,Reid,NSW,2482,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2482/Abbotsford-Public-School-Abbotsford-Public-School-Community-Stall-----/no
Sausage sizzle and cake stand,151.07377,FALSE,FALSE,TRUE,TRUE,2016-06-30 14:23:51.382451+00,2016-06-29 12:28:10.766267+00,,-33.76284,Epping Heights Public School,,,"{""has_bacon_and_eggs"":true}",Assisted,"Kent St - Pathway, driveway",Public School,,,Epping Heights Public School,"Epping Heights Public School, 128 Kent St, EPPING, NSW 2121",Epping Heights,Bennelong,NSW,3604,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3604/Epping-Heights/no
,145.065,FALSE,FALSE,TRUE,TRUE,2016-07-01 08:14:43.404175+00,2016-07-01 08:14:43.404175+00,,-37.9021,,,Twitter,{},Assisted,Entry from Dalny Road. Polling conducted in Parish Centre Hall,Private School,,,St Patrick's,"St Patrick's, 3 Dalny Rd, MURRUMBEENA, VIC 3163",Murrumbeena South (Hotham),Hotham,VIC,,
,144.2356181,FALSE,FALSE,FALSE,FALSE,,,,-36.2114374,,,,,Assisted,Entry via main gate Glossop St.,,,,Recreation Reserve,"Recreation Reserve, Glossop St, MITIAMO, VIC 3573",Mitiamo,Murray,VIC,,
,138.611334,FALSE,FALSE,FALSE,FALSE,,,,-34.902899,,,,,Assisted,,,,,The Gilberton Chapel,"The Gilberton Chapel, 11 Park Tce, GILBERTON, SA 5081",College Park,Adelaide,SA,,
