source,lon,has_run_out,division,booth_info,premises,has_bbq,address,opening_hours,has_other,lat,state,polling_place_name,has_nothing,has_caek,polling_place_type,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
,150.672007,FALSE,Camden,,Carrington Centennial Care,FALSE,"90 Werombi Road, Grasmere, 2570",,0,-34.051774,NSW,Carrington Centennial Care,FALSE,FALSE,Other,,,,,,
,149.695508,FALSE,Bega,,Candelo Public School,FALSE,"William Street, Candelo, 2550",,0,-36.768355,NSW,Candelo Public,FALSE,FALSE,Government School,,,,,,
,151.123071,FALSE,Miranda,,Taren Point Public School,FALSE,"93 Woodlands Road, Taren Point, 2229",,0,-34.018184,NSW,Taren Pt Public,FALSE,FALSE,Government School,,,,,,
,148.5575144,FALSE,Cootamundra,,Galong Memorial Hall,FALSE,"McMahon Street, Galong, 2585",,0,-34.6009317,NSW,Galong Hall,FALSE,FALSE,Hall,,,,,,
,153.283798,FALSE,Lismore,,Trinity Catholic College St Joseph's Site Lismore,FALSE,"Leycester Street, Lismore, 2480",,0,-28.803285,NSW,Trinity Cllg -Jnr Campus Lismore,FALSE,FALSE,Other,,,,,,
,151.135807,FALSE,Hornsby,,Mount Kuring-gai Public School,TRUE,"Leeming Street, Mount Kuring-gai, 2080",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.657756,NSW,Mt Ku-ring-gai Public,FALSE,TRUE,Government School,,,,,,
,151.481809,FALSE,Lake Macquarie,,Wyee Community Hall,FALSE,"114 Wyee Road, Wyee, 2259",,0,-33.176899,NSW,Wyee Hall,FALSE,FALSE,Hall,,,,,,
,151.4780606,FALSE,Cessnock,,Kurri Kurri Public School,FALSE,"Rawson Street, Kurri Kurri, 2327",,0,-32.82142774,NSW,Kurri Kurri Public,FALSE,FALSE,Government School,,,,,,
,151.123165,FALSE,Canterbury,,Earlwood Uniting Church Hall,FALSE,"16 William Street, Earlwood, 2206",,0,-33.92739,NSW,Earlwood Uniting,FALSE,FALSE,Church,,,,,,
,151.193474,FALSE,Newtown,,Seymour Theatre Centre - Studio One,FALSE,"Maze Crescent, Darlington, 2008",,0,-33.888668,NSW,Seymour Cntr,FALSE,FALSE,Other,,,,,,
,151.202789,FALSE,Lane Cove,,North Sydney Girls High School,FALSE,"Pacific Highway, Crows Nest, 2065",,0,-33.830171,NSW,Nth Sydney Girls High,FALSE,FALSE,Government School,,,,,,
,151.130823,FALSE,Summer Hill,,St Stephanos Church Hall,FALSE,"650 New Canterbury Road, Hurlstone Park, 2193",,0,-33.905181,NSW,St Stephanos,FALSE,FALSE,Church,,,,,,
,151.274386,FALSE,Wakehurst,,Narraweena Public School,FALSE,"Ronald Avenue, Narraweena, 2099",,0,-33.749594,NSW,Narraweena Public,FALSE,FALSE,Government School,,,,,,
,150.681134,FALSE,Penrith,,Jamisontown Uniting Church Hall,FALSE,"3 Stuart Street, Jamisontown, 2750",,0,-33.763725,NSW,Jamisontown Uniting,FALSE,FALSE,Church,,,,,,
,150.751873,FALSE,Londonderry,,Llandilo Public School,FALSE,"Seventh Avenue, Llandilo, 2747",,0,-33.708087,NSW,Llandilo Public,FALSE,FALSE,Government School,,,,,,
,153.344953,FALSE,Lismore,,Bexhill Hall,FALSE,"47 - 49 Coleman St., Bexhill, 2480",,0,-28.766238,NSW,Bexhill Hall,FALSE,FALSE,Hall,,,,,,
,149.975062,FALSE,Bega,,Tanja Public School,FALSE,"Barrabooka Road, Tanja, 2550",,0,-36.640277,NSW,Tanja Public,FALSE,FALSE,Government School,,,,,,
,152.994473,FALSE,Oxley,,Stuarts Point Community Hall,FALSE,"2a Marine Parade, Stuarts Point, 2441",,0,-30.820721,NSW,Stuarts Pt Hall,FALSE,FALSE,Hall,,,,,,
,151.082756,FALSE,Hornsby,,Thornleigh Community Centre,FALSE,"Central Avenue, Thornleigh, 2120",,0,-33.728422,NSW,Thornleigh Comm. Cntr,FALSE,FALSE,Other,,,,,,
,151.213205,FALSE,Sydney,,Unitarian Church Hall,FALSE,"15 Francis Street, East Sydney, 2010",,0,-33.876142,NSW,Unitarian Church Hall,FALSE,FALSE,Church,,,,,,
,151.965977,FALSE,Port Stephens,,Karuah Public School,FALSE,"18 Bundabah Street, Karuah, 2324",,0,-32.654272,NSW,Karuah Public,FALSE,FALSE,Government School,,,,,,
,151.171983,FALSE,Upper Hunter,,Singleton Public School,FALSE,"Elizabeth Street, Singleton, 2330",,0,-32.562816,NSW,Singleton Public,FALSE,FALSE,Government School,,,,,,
,151.088421,FALSE,Drummoyne,,Rhodes Community Hall,FALSE,"63 Blaxland Road, Rhodes, 2138",,0,-33.826756,NSW,Rhodes Comm. Hall,FALSE,FALSE,Hall,,,,,,
,147.379572,FALSE,Wagga Wagga,,North Wagga Public School,FALSE,"Hampden Avenue, North Wagga Wagga, 2650",,0,-35.096558,NSW,Nth Wagga Public,FALSE,FALSE,Government School,,,,,,
,151.577138,FALSE,Upper Hunter,,Vacy Public School,FALSE,"Gresford Road, Vacy, 2421",,0,-32.542175,NSW,Vacy Public,FALSE,FALSE,Government School,,,,,,
,151.6604985,FALSE,Swansea,,Belmont High School,FALSE,"424 Pacific Highway, Belmont, 2280",,0,-33.0266843,NSW,Belmont High,FALSE,FALSE,Government School,,,,,,
,152.678806,FALSE,Oxley,,Rollands Plains School Of Arts Hall,FALSE,"Rollands Plains Road, Rollands Plains, 2441",,0,-31.27906,NSW,Rollands Plains Arts Hall,FALSE,FALSE,Private School,,,,,,
,150.909077,FALSE,Holsworthy,,Casula Public School,FALSE,"De Meyrick Avenue, Casula, 2170",,0,-33.943455,NSW,Casula Public,FALSE,FALSE,Government School,,,,,,
,151.151511,FALSE,Cronulla,,Cronulla Uniting Church Hall,FALSE,"6 Gosport Street, Cronulla, 2230",,0,-34.048674,NSW,Cronulla Uniting,FALSE,FALSE,Church,,,,,,
,150.969243,FALSE,Prospect,,Reg Byrne Community Centre,FALSE,"Darcy Road, Wentworthville, 2145",,0,-33.802043,NSW,Reg Byrne Comm. Cntr,FALSE,FALSE,Other,,,,,,
,150.653278,FALSE,Mulgoa,,Mulgoa Hall,FALSE,"Littlefields Road, Mulgoa, 2745",,0,-33.836765,NSW,Mulgoa Comm. Cntr,FALSE,FALSE,Hall,,,,,,
,151.17897,FALSE,Davidson,,Roseville Uniting Church Hall,FALSE,"7A Lord Street, Roseville, 2069",,0,-33.784204,NSW,Roseville Uniting,FALSE,FALSE,Church,,,,,,
,150.937714,FALSE,Cabramatta,,Canley Vale Public School,FALSE,"Canley Vale Road, Canley Vale, 2166",,0,-33.886,NSW,Canley Vale Public,FALSE,FALSE,Government School,,,,,,
,150.742244,FALSE,Kiama,,Shoalhaven Heads Community Centre,FALSE,"Shoalhaven Heads Road, Shoalhaven Heads, 2535",,0,-34.849183,NSW,Shoalhaven Heads Comm. Cntr,FALSE,FALSE,Other,,,,,,
,150.771393,FALSE,Kiama,,Albion Park Public School,FALSE,"Hamilton Street, Albion Park, 2527",,0,-34.570207,NSW,Albion Park Public,FALSE,FALSE,Government School,,,,,,
,153.011458,FALSE,Coffs Harbour,,Coramba Public School,FALSE,"Short Street, Coramba, 2450",,0,-30.221211,NSW,Coramba Public,FALSE,FALSE,Government School,,,,,,
,150.894006,FALSE,Keira,,Fernhill Guide Hall,FALSE,"2 Douglas Road, Fernhill, 2519",,0,-34.384473,NSW,Fernhill Guide Hall,FALSE,FALSE,Hall,,,,,,
,147.590687,FALSE,Cootamundra,,Junee High School,FALSE,"Lydia Street, Junee, 2663",,0,-34.869232,NSW,Junee High,FALSE,FALSE,Government School,,,,,,
,146.927647,FALSE,Albury,,Lavington Public School,FALSE,"497 Hague Street, Lavington, 2641",,0,-36.037951,NSW,Lavington Public,FALSE,FALSE,Government School,,,,,,
,151.2519624,FALSE,Vaucluse,,Reddam House,FALSE,"15 Adelaide Street, Woollahra, 2025",,0,-33.8899057,NSW,Reddam House,FALSE,FALSE,Other,,,,,,
,151.210138,FALSE,Heffron,,Redfern Centre,FALSE,"9 Ogden Lane, Redfern, 2016",,0,-33.894694,NSW,Redfern Cntr,FALSE,FALSE,Other,,,,,,
,151.0333927,FALSE,Auburn,,Auburn Town Hall,FALSE,"Susan Street, Auburn, 2144",,0,-33.8532907,NSW,Auburn Town Hall,FALSE,FALSE,Hall,,,,,,
,147.87817,FALSE,Cootamundra,,Bribbaree Hall,FALSE,"Weedallion St, Bribbaree, 2594",,0,-34.1199,NSW,Bribbaree Hall,FALSE,FALSE,Hall,,,,,,
http://electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/275/Woodford-Rural-Fire-Brigade-Woodford-Rural-Fire-Brigade-Sausage-Sizzle/no,150.470123,FALSE,Blue Mountains,,Woodford Rural Fire Brigade,TRUE,"2 Park Road, Woodford, 2778",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.73415,NSW,Woodford RFS,FALSE,FALSE,Other,,,,,,
,150.891871,FALSE,Cabramatta,,Bonnyrigg High School,FALSE,"Elizabeth Drive, Bonnyrigg, 2177",,0,-33.894416,NSW,Bonnyrigg High,FALSE,FALSE,Government School,,,,,,
,150.888616,FALSE,Cabramatta,,Bonnyrigg Public School,FALSE,"Tarlington Parade, Bonnyrigg, 2177",,0,-33.887922,NSW,Bonnyrigg Public,FALSE,FALSE,Government School,,,,,,
,150.311476,FALSE,Blue Mountains,,St Canice's Church Katoomba,TRUE,"158 Katoomba Street, Katoomba, 2780",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.716272,NSW,St Canice's Katoomba,FALSE,FALSE,Church,School Open Day,,,,,
,150.598743,FALSE,Blue Mountains,,Warrimoo Citizens Hall,TRUE,"7 Eley Hawkins Drive, Warrimoo, 2774",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.721058,NSW,Warrimoo Ctzns Hall,FALSE,TRUE,Hall,,,,,,
,150.372949,FALSE,Blue Mountains,,Wentworth Falls Public School,TRUE,"Falls Road, Wentworth Falls, 2782",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.713425,NSW,Wentworth Falls Public,FALSE,TRUE,Government School,,,,,,
,150.615714,FALSE,Blue Mountains,,Winmalee High School,FALSE,"High School Drive, Winmalee, 2777",,0,-33.674743,NSW,Winmalee High,FALSE,FALSE,Government School,,,,,,
