has_caek,lon,state,division,polling_place_name,premises,address,opening_hours,booth_info,polling_place_type,has_bbq,lat,has_nothing,has_run_out,has_other,source,extra_info,stall_name,stall_description,stall_website,first_report,latest_report,ess_stall_id,ess_stall_url
FALSE,133.895702,NT,N/A,Alice Springs,Centralian Senior College,"Centralian Senior College, Grevillea Dr, Alice Springs",,,,FALSE,-23.697872,FALSE,FALSE,,,,,,,,,,
FALSE,133.833064,NT,N/A,Alice Springs,Living Waters Lutheran School,"Living Waters Lutheran School, Albrecht Dr, Alice Springs",,,,FALSE,-23.697782,FALSE,FALSE,,,,,,,,,,
FALSE,133.87094,NT,N/A,Alice Springs,Yirara College,"Yirara College, Stuart Hwy, Alice Springs",,,,FALSE,-23.762122,FALSE,FALSE,,,,,,,,,,
FALSE,136.420024,NT,N/A,Alyangula,Alyangula Library,"Alyangula Library, Flinders St, Alyangula",,,,FALSE,-13.85074,FALSE,FALSE,,,,,,,,,,
FALSE,131.0534,NT,N/A,Bees Creek,Bees Creek Primary School,"Bees Creek Primary School, 20 Sattler Cres, Bees Creek",,,,FALSE,-12.540983,FALSE,FALSE,,,,,,,,,,
FALSE,130.92238,NT,N/A,Berrimah,Kormilda College,"Kormilda College, Berrimah Rd, Berrimah",,,,FALSE,-12.442959,FALSE,FALSE,,,,,,,,,,
FALSE,130.987693,NT,N/A,Berry Springs,Berry Springs Primary School,"Berry Springs Primary School, 1150 Cox Peninsula Rd, Berry Springs",,,,FALSE,-12.715519,FALSE,FALSE,,,,,,,,,,
FALSE,136.305213,NT,N/A,Borroloola,Borroloola Shire Council Office,"Borroloola Shire Council Office, Borroloola",,,,FALSE,-16.085816,FALSE,FALSE,,,,,,,,,,
FALSE,130.975408,NT,N/A,Driver,Driver Primary School,"Driver Primary School, Driver Avenue, Driver",,,,FALSE,-12.485408,FALSE,FALSE,,,,,,,,,,
FALSE,135.5664,NT,N/A,Elcho Island,Galiwin'ku Training Centre,"Galiwin'Ku Training Centre, Elcho Island",,,,FALSE,-12.0235,FALSE,FALSE,,,,,,,,,,
FALSE,131.102617,NT,N/A,Girraween,Girraween Primary School,"Girraween Primary School, 25 Carruth Road, Girraween",,,,FALSE,-12.522916,FALSE,FALSE,,,,,,,,,,
FALSE,130.980196,NT,N/A,Gray,Gray Primary School,"Gray Primary School, 22 Victoria Drive, Gray",,,,FALSE,-12.489693,FALSE,FALSE,,,,,,,,,,
FALSE,131.047336,NT,N/A,Howard Springs,Whitewood Hall,"Whitewood Hall, Howard Park Reserve, 325 Whitewood Rd, Howard Springs",,,,FALSE,-12.495295,FALSE,FALSE,,,,,,,,,,
FALSE,131.101514,NT,N/A,Humpty Doo,Taminmin College,"Taminmin College, Challoner Crct, Humpty Doo",,,,FALSE,-12.57986,FALSE,FALSE,,,,,,,,,,
FALSE,132.833,NT,N/A,Jabiru,Jabiru Community Hall,"Jabiru Community Hall, Leichhardt St, Jabiru",,,,FALSE,-12.6738,FALSE,FALSE,,,,,,,,,,
FALSE,131.00957,NT,N/A,Johnston,MacKillop Catholic College,"Mackillop Catholic College, 285 Farrar Blvd, Johnston",,,,FALSE,-12.497425,FALSE,FALSE,,,,,,,,,,
FALSE,132.261,NT,N/A,Katherine,Katherine Civic Centre,"Katherine Civic Centre, Stuart Hwy, Katherine",,,,FALSE,-14.4633,FALSE,FALSE,,,,,,,,,,
FALSE,132.282,NT,N/A,Katherine East,MacFarlane Pre-School,"Macfarlane Pre-School, Grevillea Rd, Katherine East",,,,FALSE,-14.4632,FALSE,FALSE,,,,,,,,,,
FALSE,130.855,NT,N/A,Ludmilla,Ludmilla Primary School,"Ludmilla Primary School, 41 Bagot Rd, Ludmilla",,,,FALSE,-12.4245,FALSE,FALSE,,,,,,,,,,
FALSE,130.881212,NT,N/A,Moil,Moil Primary School,"Moil Primary School, Outside School Hours Building, Moil Cres, Moil",,,,FALSE,-12.387869,FALSE,FALSE,,,,,,,,,,
FALSE,133.868,NT,N/A,Alice Springs,Gillen Primary School,"Gillen Primary School, 55 Milner Rd, Alice Springs",,,Public School,TRUE,-23.7084,FALSE,FALSE,{},Twitter,$2 sausages,,,,2016-08-27 02:39:16.568527+00,2016-08-27 02:39:16.568527+00,,
FALSE,130.859282,NT,N/A,Millner,Millner Primary School,"Millner Primary School, 41 Sabine Rd, Millner",,,,FALSE,-12.391255,TRUE,FALSE,{},,,,,,2016-08-27 02:43:01.751206+00,2016-08-27 02:43:01.751206+00,,
TRUE,130.852,NT,N/A,Rapid Creek,Nightcliff Middle School,"Nightcliff Middle School, 90 Aralia St, Rapid Creek",,,,TRUE,-12.3788,FALSE,FALSE,{},,,,,,2016-08-27 02:46:13.242647+00,2016-08-27 02:46:13.242647+00,,
TRUE,130.893,NT,N/A,Anula,Anula Primary School,"Anula Primary School, Yanyula Drive, Anula",,,Public School,TRUE,-12.3911,FALSE,FALSE,{},Twitter,"Anula primary has good snags, b&w rolls, plus spring rolls, satay and cake!",,,,2016-08-27 02:50:39.350403+00,2016-08-27 02:50:39.350403+00,,
FALSE,130.829491,NT,N/A,Larrakeyah,Larrakeyah Pre-School,"Larrakeyah Pre-School, 3 Packard St, Larrakeyah",,,,TRUE,-12.45818,FALSE,FALSE,{},,,,,,2016-08-27 03:01:00.238072+00,2016-08-27 03:01:00.238072+00,,
FALSE,133.882038,NT,N/A,Alice Springs,Alice Springs Town Council,"Alice Springs Town Council, 93 Todd St, Alice Springs",,,,FALSE,-23.701797,TRUE,FALSE,{},,,,,,2016-08-27 03:03:37.805478+00,2016-08-27 03:03:37.805478+00,,
FALSE,130.99093,NT,N/A,Rosebery,Rosebery Middle School,"Rosebery Middle School, Cnr Belyuen Rd & Forrest Pde, Rosebery",,,,TRUE,-12.509162,FALSE,FALSE,{},,,,,,2016-08-27 03:12:59.069882+00,2016-08-27 03:12:59.069882+00,,
FALSE,130.878,NT,N/A,Nakara,Nakara Primary School,"Nakara Primary School, Goodman St, Nakara",,,,TRUE,-12.372,FALSE,FALSE,{},,,,,,2016-08-27 04:32:41.538422+00,2016-08-27 04:32:41.538422+00,,
