state,lon,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,lat,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
QLD,149.050612,Mirani,,State School,,Government School,FALSE,,,-21.275878,Homebush,FALSE,FALSE,"Homebush Road, HOMEBUSH, 4740",,,,,,,
QLD,145.594736,Dalrymple,,State School,,Government School,FALSE,,,-17.349409,Malanda,FALSE,FALSE,"24 Mary Street, MALANDA, 4885",,,,,,,
QLD,153.4525,Burleigh,,Fradgley Hall (above library building),,Hall,FALSE,,,-28.090556,Burleigh All-Districts Centre,FALSE,FALSE,"Park Avenue (cnr Ocean Street), BURLEIGH HEADS, 4220",,,,,,,
QLD,152.032861,Burnett,,State School,,Government School,FALSE,,,-25.209598,Booyal,FALSE,FALSE,"31620 Bruce Highway, BOOYAL, 4671",,,,,,,
QLD,151.231073,Callide,,Hall,,Hall,FALSE,,,-24.786282,Bancroft,FALSE,FALSE,"Gladstone Monto Road, BANCROFT, 4630",,,,,,,
QLD,153.027901,Beaudesert,,Memorial Hall,,Hall,FALSE,,,-28.104603,Kerry,FALSE,FALSE,"1488 Kerry Road, KERRY, 4285",,,,,,,
QLD,152.967839,Pine Rivers,,Les Hughes Sporting Complex,,Other,FALSE,,,-27.287968,Bray Park Central,FALSE,FALSE,"Baker Street, Bray Park, 4500",,,,,,,
QLD,150.728451,Keppel,,St Brendan's College,,Private School,FALSE,,,-23.118262,Yeppoon North,FALSE,FALSE,"139 Adelaide Park Road, YEPPOON, 4703",,,,,,,
QLD,145.397809,Dalrymple,,State School,,Government School,FALSE,,,-20.52292,Pentland,FALSE,FALSE,"Gilmore Street, PENTLAND, 4816",,,,,,,
QLD,145.850437,Hinchinbrook,,State School,,Government School,FALSE,,,-18.090422,Murray River Upper,FALSE,FALSE,"Upper Murray Road, Murray Upper, 4854",,,,,,,
QLD,153.402357,Currumbin,,Community Hall,,Hall,FALSE,,,-28.152121,Tallebudgera Valley,FALSE,FALSE,"611 Tallebudgera Creek Road, TALLEBUDGERA VALLEY, 4228",,,,,,,
