has_bbq,lon,division,extra_info,polling_place_name,address,state,booth_info,premises,opening_hours,polling_place_type,lat,has_nothing,has_caek,has_run_out,has_other,source,stall_name,stall_description,stall_website,first_report,latest_report,ess_stall_id,ess_stall_url
FALSE,151.977441,NANANGO,,Booie,"Booie Hall, Booie Road, BOOIE",QLD,,"Booie Hall, Booie Road, BOOIE",,,-26.580959,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.092469,all,Full Wheelchair Access,Maroochydore All-Districts,"Shop 1, 19 Duporth Avenue, MAROOCHYDORE",QLD,,"Shop 1, 19 Duporth Avenue, MAROOCHYDORE",,,-26.652495,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.866985,BUNDAMBA,,Redbank,"Redbank Pre-School, 19 Brisbane Road, REDBANK",QLD,,"Redbank Pre-School, 19 Brisbane Road, REDBANK",,,-27.601791,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.094492,BURNETT,Full Wheelchair Access,Bucca,"Hall, 28 Longs Road, BUCCA",QLD,,"Hall, 28 Longs Road, BUCCA",,,-24.862988,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,145.424502,COOK,Full Wheelchair Access,Mareeba Hospital,"Hospital, 21 Lloyd Street, MAREEBA",QLD,,"Hospital, 21 Lloyd Street, MAREEBA",,,-16.987015,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,143.062923,GREGORY,,Jundah,"Jundah State School, 11 Garrick Street, JUNDAH",QLD,,"Jundah State School, 11 Garrick Street, JUNDAH",,,-24.829026,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,145.114559,HILL,,Mount Garnet,"QCWA Hall, Garnet Street, MOUNT GARNET",QLD,,"QCWA Hall, Garnet Street, MOUNT GARNET",,,-17.676582,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.141817,LYTTON,Full Wheelchair Access,Lindum,"Wynnum Baptist Church, 287 Kianawah Road, WYNNUM WEST",QLD,,"Wynnum Baptist Church, 287 Kianawah Road, WYNNUM WEST",,,-27.456551,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.974617,NICKLIN,Full Wheelchair Access,Woombye,"Woombye State School, 95 Pine Grove Road, WOOMBYE",QLD,,"Woombye State School, 95 Pine Grove Road, WOOMBYE",,,-26.667798,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,151.81239,SOUTHERN DOWNS,,Amiens,"Amiens State School, 1337 Amiens Road, AMIENS",QLD,,"Amiens State School, 1337 Amiens Road, AMIENS",,,-28.595099,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.027557,STAFFORD,Full Wheelchair Access,Chermside,"Wheller Gardens Settlement, 930 Gympie Road, CHERMSIDE",QLD,,"Wheller Gardens Settlement, 930 Gympie Road, CHERMSIDE",,,-27.381697,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.076673,TOOHEY,Full Wheelchair Access,Macgregor,"Macgregor State High School, 29 Blackwattle Street, MACGREGOR",QLD,,"Macgregor State High School, 29 Blackwattle Street, MACGREGOR",,,-27.564204,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,146.579204,TOWNSVILLE,Assisted Wheelchair Access,Palm Island,"Bwgcolman Community School, Creek Road, PALM ISLAND",QLD,,"Bwgcolman Community School, Creek Road, PALM ISLAND",,,-18.736103,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,148.77763,WARREGO,,Roma,"Roma State College Senior School - Jubilee Hall, Cottell Street, ROMA",QLD,,"Roma State College Senior School - Jubilee Hall, Cottell Street, ROMA",,,-26.571803,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.058925,BULIMBA,,Bulimba Heights,"Bulimba State School, 271 Oxford Street, BULIMBA",QLD,,"Bulimba State School, 271 Oxford Street, BULIMBA",,,-27.451308,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,147.686515,BURDEKIN,,Gumlu,"Gumlu State School, De Salis Street, GUMLU",QLD,,"Gumlu State School, De Salis Street, GUMLU",,,-19.87942,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.060497,CALLIDE,,Bullyard,"Bullyard State School, 2359 Bucca Road, BULLYARD",QLD,,"Bullyard State School, 2359 Bucca Road, BULLYARD",,,-24.94973,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.054136,CLAYFIELD,,Ascot,"Ascot State School, Massey Street, ASCOT",QLD,,"Ascot State School, Massey Street, ASCOT",,,-27.433156,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.783869,IPSWICH,Full Wheelchair Access,Silkstone,"Silkstone State School, Prospect Street, SILKSTONE",QLD,,"Silkstone State School, Prospect Street, SILKSTONE",,,-27.617265,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,149.144016,MIRANI,,Chelona,"Chelona State School, Dunrock Road, CHELONA",QLD,,"Chelona State School, Dunrock Road, CHELONA",,,-21.260515,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.028481,"BANCROFT, MURRUMBA",Assisted Wheelchair Access,Mango Hill,"Community Centre, Chermside Road, MANGO HILL",QLD,,"Community Centre, Chermside Road, MANGO HILL",,,-27.247486,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.909138,NICKLIN,Assisted Wheelchair Access,Cooroy,"Noosa District High School, 2 Tulip Street, COOROY",QLD,,"Noosa District High School, 2 Tulip Street, COOROY",,,-26.425268,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,152.957042,all,Full Wheelchair Access,Morayfield All-Districts Centre,"6, 379 Morayfield Road, MORAYFIELD",QLD,,"6, 379 Morayfield Road, MORAYFIELD",,,-27.120607,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.267127,all,Full Wheelchair Access,Oodgeroo All-Districts Centre,"248 Bloomfield Street, CLEVELAND",QLD,,"248 Bloomfield Street, CLEVELAND",,,-27.535496,FALSE,FALSE,FALSE,,,,,,,,,
FALSE,153.029526,ALGESTER,Full Wheelchair Access,Algester South,"St Stephens School, 156 Ridgewood Road, ALGESTER",QLD,,"St Stephens School, 156 Ridgewood Road, ALGESTER",,,-27.6182,FALSE,FALSE,FALSE,,,,,,,,,
TRUE,153.014341,ALGESTER,,Acacia Ridge,"Acacia Ridge State School - Sports Hall, Nyngam Street, ACACIA RIDGE",QLD,,"Acacia Ridge State School - Sports Hall, Nyngam Street, ACACIA RIDGE",,,-27.580244,FALSE,FALSE,FALSE,{},,Nygam Street,Sausages,,2017-11-24 22:53:05.287719+00,2017-11-24 22:53:05.287719+00,,
FALSE,146.801834,all,Assisted Wheelchair Access,Townsville All-Districts Centre,"Hyde Park Centre, Shop 9, 36 Woolcock Street, HYDE PARK",QLD,,"Hyde Park Centre, Shop 9, 36 Woolcock Street, HYDE PARK",,,-19.272247,TRUE,FALSE,FALSE,{},Twitter,,,,2017-11-25 01:29:19.496479+00,2017-11-25 01:29:19.496479+00,,
TRUE,151.845772,NANANGO,,Cloyna,"Cloyna State School, 8 William Webber Road, CLOYNA",QLD,,"Cloyna State School, 8 William Webber Road, CLOYNA",,Public School,-26.107932,FALSE,FALSE,FALSE,{},The South Burnett Times,,,,2017-11-25 01:45:57.833596+00,2017-11-25 01:45:57.833596+00,,
