division,polling_place_name,address,extra_info,lon,lat,state
JORDAN,Springfield,"Woodcrest College Auditorium, 38 Nev Smith Drive, SPRINGFIELD",Full Wheelchair Access,152.921137,-27.659128,QLD
GREENSLOPES,Greenslopes,"Greenslopes Baptist Church Hall, cnr Dunellan and Henry Streets, GREENSLOPES",Full Wheelchair Access,153.048163,-27.506801,QLD
MOGGILL,Upper Brookfield,"Upper Brookfield State School, 496 Upper Brookfield Road, UPPER BROOKFIELD",Full Wheelchair Access,152.868984,-27.478216,QLD
"GAVEN, SOUTHPORT",Nerang Primary,"Nerang State Primary School, 3 Nerang Street, NERANG",Full Wheelchair Access,153.337748,-27.988219,QLD
SPRINGWOOD,Chatswood Hills,"Chatswood Hills State School, Raleigh Street, SPRINGWOOD",Assisted Wheelchair Access,153.138044,-27.628303,QLD
LOCKYER,Thornton,"Thornton State School, 4 Thornton School Road, THORNTON",,152.372024,-27.79798,QLD
SOUTHERN DOWNS,Maryvale,"Maryvale State School, 81 Taylor Street, MARYVALE",,152.242318,-28.067654,QLD
TOOWOOMBA NORTH,Tor Street North,"Sacred Heart School, 263 Tor Street, TOOWOOMBA",Assisted Wheelchair Access,151.930757,-27.539628,QLD
LOCKYER,Laidley,"Laidley District State School, 232 Patrick Street, LAIDLEY",Assisted Wheelchair Access,152.39567,-27.623714,QLD
"GYMPIE, NICKLIN",Cooran,"Cooran State School, 31 James Street, COORAN",Assisted Wheelchair Access,152.824735,-26.340636,QLD
"MUNDINGBURRA, TOWNSVILLE",Currajong,"Currajong State School, 140 Palmerston Street, CURRAJONG",,146.773814,-19.280522,QLD
"BONNEY, BROADWATER, SOUTHPORT",Labrador,"Labrador State School, Imperial Parade, LABRADOR",Full Wheelchair Access,153.401994,-27.942504,QLD
HINCHINBROOK,Macknade,"Macknade State School, 79 Farrell Drive, MACKNADE",Full Wheelchair Access,146.251835,-18.576896,QLD
WARREGO,Dalby North,"Our Lady of the Southern Cross College, 2 Nicholson Street, DALBY",Full Wheelchair Access,151.268786,-27.170421,QLD
MARYBOROUGH,Sunbury,"Sunbury State School, 545 Alice Street, MARYBOROUGH",Full Wheelchair Access,152.67844,-25.525093,QLD
"BANCROFT, MURRUMBA",North Lakes,"North Lakes State College - Senior Campus Sports Hall, The Corso, NORTH LAKES",Assisted Wheelchair Access,153.017479,-27.23981,QLD
SCENIC RIM,Warrill View,"Warrill View State School, Ipswich Street, WARRILL VIEW",Full Wheelchair Access,152.61577,-27.822914,QLD
BURDEKIN,Jarvisfield,"Jarvisfield State School, 516 Rita Island Road, JARVISFIELD",,147.460599,-19.600588,QLD
"ASPLEY, NUDGEE",Aspley,"Aspley Special School Hall, 751 Zillmere Road, Aspley",Assisted Wheelchair Access,153.021666,-27.35677,QLD
SOUTHERN DOWNS,Allora,"Senior Citizens Hall, 18 Drayton Street, ALLORA",Full Wheelchair Access,151.982889,-28.03351,QLD
"BUNDAMBA, IPSWICH",Bundamba South,"Bundamba State School Hall, 221 Brisbane Road, BUNDAMBA",Assisted Wheelchair Access,152.805033,-27.612139,QLD
CLAYFIELD,Lutwyche,"Holy Cross School Foster Pavilion, 40 Morris Street, WOOLOOWIN",Assisted Wheelchair Access,153.039685,-27.423937,QLD
MARYBOROUGH,Tinana,"Tinana State School, 239 Gympie Road, TINANA",Full Wheelchair Access,152.667607,-25.55809,QLD
SCENIC RIM,Darlington,"Darlington State School, 2744 Kerry Road, DARLINGTON",,153.039854,-28.205841,QLD
MILLER,Graceville,"Graceville State School, 170 Oxley Road, GRACEVILLE",Full Wheelchair Access,152.978972,-27.518071,QLD
