polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Risdon Vale Primary School,147.354,,Standard,Risdon Vale Primary School,,FALSE,Heather Rd TAS 7016,,TAS,-42.8131,FALSE,TRUE,Plus egg & bacon rolls and coffee,,,,,,,,
Riverside High School,147.097015,,Assisted Disabled,Riverside High School,,FALSE,354 West Tamar Highway TAS 7250,,TAS,-41.409693,FALSE,FALSE,,,,,,,,,
Ridgley Primary School,145.837,,Assisted Disabled,Ridgley Primary School,,FALSE,904 Ridgley Hwy TAS 7321,,TAS,-41.1398,FALSE,FALSE,,,,,,,,,
Ringarooma Hall,147.73568,,Assisted Disabled,Ringarooma Hall,,FALSE,Charles St TAS 7263,,TAS,-41.24241,FALSE,FALSE,,,,,,,,,
Riana Community Centre,145.999,,Standard,Riana Community Centre,,FALSE,1221 Pine Rd TAS 7316,,TAS,-41.2015,FALSE,FALSE,,,,,,,,,
Richmond Primary School,147.43846,,Assisted Disabled,Richmond Primary School,,FALSE,Commercial Road TAS 7025,,TAS,-42.73504,FALSE,FALSE,,,,,,,,,
Ravenswood Heights Primary School Gynasium ,147.177,,Assisted Disabled,Ravenswood Heights Primary School Gynasium ,,FALSE,25 Prossers Forest Rd TAS 7250,,TAS,-41.4162,FALSE,FALSE,,,,,,,,,
Grassy Club,144.058,,Standard,Grassy Club,,FALSE,10 Grassy Rd TAS 7256,,TAS,-40.0484,FALSE,FALSE,,,,,,,,,
Evandale Primary School,147.247,,Assisted Disabled,Evandale Primary School,,FALSE,5-11 Barclay St TAS 7212,,TAS,-41.5672,FALSE,FALSE,,,,,,,,,
Reekara Community Complex,143.916,,Standard,Reekara Community Complex,,FALSE,2249 North Rd TAS 7256,,TAS,-39.7532,FALSE,FALSE,,,,,,,,,
Sulphur Creek Memorial Hall,146.026,,Standard,Sulphur Creek Memorial Hall,,FALSE,Preservation Dr TAS 7321,,TAS,-41.0935,FALSE,FALSE,,,,,,,,,
Summerdale Community Centre,147.13,,Assisted Disabled,Summerdale Community Centre,,FALSE,82-84 Stanley St TAS 7250,,TAS,-41.4683,FALSE,FALSE,,,,,,,,,
Brooks High School,147.125949,,Assisted Disabled,Brooks High School,,FALSE,215 George Town Rd TAS 7248,,TAS,-41.377716,FALSE,FALSE,,,,,,,,,
Rocky Cape Public Hall,145.487,,Assisted Disabled,Rocky Cape Public Hall,,FALSE,19074 Bass Hwy TAS 7321,,TAS,-40.905,FALSE,FALSE,,,,,,,,,
Lauderdale Community Hall,147.4862704,,Assisted Disabled,Lauderdale Community Hall,,FALSE,528A South Arm Rd TAS 7021,,TAS,-42.9136629,FALSE,FALSE,,,,,,,,,
Latrobe Primary School,146.415,,Assisted Disabled,Latrobe Primary School,,FALSE,Lewis St TAS 7307,,TAS,-41.2365,FALSE,FALSE,,,,,,,,,
Magra CWA Building,147.054,,Assisted Disabled,Magra CWA Building,,FALSE,Back River Rd TAS 7140,,TAS,-42.7559,FALSE,FALSE,,,,,,,,,
W.G. Holloway Park Building,148.246,,Assisted Disabled,W.G. Holloway Park Building,,FALSE,Barr St TAS 7255,,TAS,-40.2094,FALSE,FALSE,,,,,,,,,
Lachlan Community Hall,147.043,,Assisted Disabled,Lachlan Community Hall,,FALSE,511 Lachlan Rd TAS 7140,,TAS,-42.8304,FALSE,FALSE,,,,,,,,,
Lebrina Memorial Hall,147.228,,Standard,Lebrina Memorial Hall,,FALSE,905 Golconda Rd TAS 7254,,TAS,-41.1773,FALSE,FALSE,,,,,,,,,
St John's Parish Centre,147.141,,Assisted Disabled,St John's Parish Centre,,FALSE,157 St John St TAS 7250,,TAS,-41.4399,FALSE,FALSE,,,,,,,,,
Pilgrim Hall,147.137,,Standard,Pilgrim Hall,,FALSE,36 Paterson St TAS 7250,,TAS,-41.4366,FALSE,FALSE,,,,,,,,,
Launceston General Hospital,147.143,,Assisted Disabled,Launceston General Hospital,,FALSE, Meeting Rooom Level 3 Charles St TAS 7250,,TAS,-41.4464,FALSE,FALSE,,,,,,,,,
Glenorchy Primary School,147.268,,Assisted Disabled,Glenorchy Primary School,,FALSE,Cnr Main Rd & Kensington St TAS 7010,,TAS,-42.8297,FALSE,FALSE,,,,,,,,,
St Andrew's Hall,147.284,,Standard,St Andrew's Hall,,FALSE,Lenah Valley Rd TAS 7008,,TAS,-42.8624,FALSE,FALSE,,,,,,,,,
Legana Memorial Hall,147.047,,Assisted Disabled,Legana Memorial Hall,,FALSE,43 Fulton St TAS 7277,,TAS,-41.3632,FALSE,FALSE,,,,,,,,,
Howden Fire Station,147.2915454,,Assisted Disabled,Howden Fire Station,,FALSE,Howden Rd TAS 7054,,TAS,-43.0191283,FALSE,FALSE,,,,,,,,,
