polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,first_report,latest_report,stall_name,stall_description,stall_website
Seymour College,145.14112,Euroa District,,Seymour East,,FALSE, Loco Street Seymour 642 D8,,VIC,-37.02984,FALSE,FALSE,,,,,,,,,
Keysborough College (ACACIA Campus),145.18223,Keysborough District,,Noble Park South,,FALSE, 28 Isaac Road Keysborough 89 G7,,VIC,-37.98465,FALSE,FALSE,,,,,,,,,
Bundalong Hall,146.172595,Ovens Valley District,,Bundalong,,FALSE, Pyke Street Bundalong 34 D2,,VIC,-36.037594,FALSE,FALSE,,,,,,,,,
Wyuna Public Hall,145.06094,Murray Plains District,,Wyuna,,FALSE, Alfred Road Wyuna 32 C5,,VIC,-36.197544,FALSE,FALSE,,,,,,,,,
Yinnar RSL Hall,146.330212,Morwell District,,Yinnar,,FALSE, 20 Main Street Yinnar 701 S3,,VIC,-38.320316,FALSE,FALSE,,,,,,,,,
Kilsyth Primary School,145.31494,Croydon District,,Kilsyth,,FALSE, Durham Road Kilsyth 51 F5,,VIC,-37.80211,FALSE,FALSE,,,,,,,,,
Monmia Primary School,144.792546,St Albans District,,Monmia,,FALSE, Copernicus Way Keilor Downs 13 J6,,VIC,-37.717746,FALSE,FALSE,,,,,,,,,
Badger Creek Primary School,145.532613,Eildon District,,Badger Creek,,FALSE, Badger Creek Road Badger Creek 721 R11,,VIC,-37.680588,FALSE,FALSE,,,,,,,,,
Marlo Primary School,148.53504,Gippsland East District,,Marlo,,FALSE, Jorgenson Street Marlo 684 B4,,VIC,-37.79627,FALSE,FALSE,,,,,,,,,
Katunga Primary School,145.45561,Shepparton District,,Katunga,,FALSE, Carter Street Katunga 32 J2,,VIC,-35.99856,FALSE,FALSE,,,,,,,,,
Bundoora Secondary College,145.061509,Bundoora District,,Bundoora,,FALSE, 53 Balmoral Avenue Bundoora 19 K3,,VIC,-37.707613,FALSE,FALSE,,,,,,,,,
Dorset Primary School,145.285591,Croydon District,,Dorset,,FALSE, Rescorla Avenue Croydon 51 A7,,VIC,-37.809991,FALSE,FALSE,,,,,,,,,
Mt Eliza North Primary School,145.10054,Mornington District,,Mt Eliza North,,TRUE, Moseley Drive Mount Eliza 105 J2,,VIC,-38.1884,FALSE,FALSE,,,,,,,,,
Netherby Hall,141.651568,Lowan District,,Netherby,,FALSE, 5 William Street Netherby 25 C3,,VIC,-36.108722,FALSE,FALSE,,,,,,,,,
Lindenow Pre-School,147.456315,Gippsland East District,,Lindenow,,FALSE, 152 Main Road Lindenow 83 J6,,VIC,-37.799832,FALSE,FALSE,,,,,,,,,
Fawkner Primary School,144.97389,Broadmeadows District,,Fawkner,,FALSE, 40 Lorne Street Fawkner 17 K5,,VIC,-37.715398,FALSE,FALSE,,,,,,,,,
Apsley Hall,141.082257,Lowan District,,Apsley,,FALSE, 62 Wallace Street Apsley 38 C9,,VIC,-36.967983,FALSE,FALSE,,,,,,,,,
Romsey Primary School,144.74538,Macedon District,,Romsey,,FALSE, Station Street Romsey 637 R4,,VIC,-37.35418,FALSE,FALSE,,,,,,,,,
Yanakie Public Hall,146.205204,Gippsland South District,,Yanakie,,FALSE, Meeniyan-Promontory Road Yanakie 103 D7,,VIC,-38.811449,FALSE,FALSE,,,,,,,,,
Buckley Park College,144.897222,Niddrie District,,Buckley Park,,TRUE, Cooper Street Essendon 28 C2,,VIC,-37.747457,FALSE,FALSE,,,,,,,,,
Fregon Hall,145.123717,Clarinda District,,Clayton,,FALSE, 40393 Fregon Road Clayton 79D1,,VIC,-37.918205,FALSE,FALSE,,,,,,,,,
