polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
North Perth,115.851,Perth,,Kyilla Primary School,,FALSE,Selkirk St,,WA,-31.9192,FALSE,FALSE,Assisted,,,,,,,,
Collie Central,116.152,Forrest,entrance to centre.,Margaretta Wilson Centre,,FALSE,Forrest St,,WA,-33.3586,FALSE,FALSE,Full,,,,,,,,
Wickham,117.1431051,Durack,,Wickham Community Hall,,FALSE,Carse St,,WA,-20.676597,FALSE,FALSE,Assisted,,,,,,,,
Yokine West,115.852,Stirling,Entry from Woodrow Avenue carpark.,Yokine Community Playgroup,,FALSE,Ranger Rd,,WA,-31.9018,FALSE,FALSE,None,,,,,,,,
Dalkeith,115.797,Curtin,In main hall. Entrance off quadrangle from Circe Cir.,Dalkeith Primary School,,TRUE,Circe Cir,,WA,-31.9965,FALSE,FALSE,None,,,,,,,,
Katanning,117.5542447,O'Connor,,Katanning Town Hall,,FALSE,Austral Tce,,WA,-33.6902906,FALSE,FALSE,Full,,,,,,,,
Capel,115.563,Forrest,entrance to centre.,Capel Community Centre,,FALSE,Forrest Rd,,WA,-33.5536,FALSE,FALSE,Full,,,,,,,,
Wickepin,117.498,O'Connor,entrance to school property,Wickepin Primary School,,FALSE,Henry St,,WA,-32.7865,FALSE,FALSE,Full,,,,,,,,
Mount Lawley,115.8704853,Perth,,Mt Lawley Primary School,,TRUE,65 Woodsome St,,WA,-31.9214227,FALSE,TRUE,Assisted,,,,,,,,
Miling,116.3616267,Durack,,Miling Primary School,,FALSE,Cnr Nardy St & Gt Northern Hwy,,WA,-30.492263,FALSE,FALSE,Assisted,,,,,,,,
Secret Harbour South,115.7642181,Brand,Allatoona Ave,Comet Bay College,,FALSE,2 Allatoona Ave,,WA,-32.4155491,FALSE,FALSE,Assisted,,,,,,,,
Noranda West (Stirling),115.879,Stirling,Whitworth Pl,North Morley Primary School,,TRUE,Gordon Rd W,,WA,-31.8787,FALSE,FALSE,Assisted,,,,,,,,
Busselton,115.343468,Forrest,main door,Uniting Church,,FALSE,47 Kent St,,WA,-33.649841,FALSE,FALSE,Assisted,,,,,,,,
Bindoon,116.0965383,Pearce,Learners way gate,Bindoon Primary School,,FALSE,19 Learners Way,,WA,-31.3806508,FALSE,FALSE,Assisted,,,,,,,,
Nannup,115.76565,Forrest,entrance to building,RSL Sub Branch,,FALSE,Cross St,,WA,-33.97955,FALSE,FALSE,Assisted,,,,,,,,
Nulsen,121.861,O'Connor,Entry from carpark.,Nulsen Primary School,,FALSE,Tchan St,,WA,-33.8523,FALSE,FALSE,Full,,,,,,,,
Nyabing,118.153,O'Connor,entrance to hall,Nyabing Town Hall,,FALSE,Richmond St,,WA,-33.541,FALSE,FALSE,Full,,,,,,,,
Kirup,115.893,Forrest,entrance to hall.,Kirup Hall,,FALSE,South Western Hwy,,WA,-33.7058,FALSE,FALSE,Assisted,,,,,,,,
Willagee East,115.81498,Fremantle,corner of North Lake Rd and Archibald St.,Southern Districts Senior Citizens Centre,,FALSE,cnr North Lake Rd & Archibald St,,WA,-32.0536,TRUE,FALSE,Assisted,,,,,,,,
