lon,lat,polling_place_name,state,wheelchairaccess,address
147.50484,-41.48228,North Esk Memorial Hall,TAS,With Assistance,"3132 Blessington Rd, BLESSINGTON TAS 7212"
147.73628,-41.16713,Branxholm Community Hall,TAS,None,"Stoke St, BRANXHOLM TAS 7261"
147.3948,-41.00278,Bridport Hall,TAS,With Assistance,"Main St, BRIDPORT TAS 7262"
147.80263,-41.14964,Derby Town Hall,TAS,None,"Cnr Main  AND  Krushka Sts, DERBY TAS 7264"
147.08171,-41.33693,Dilston War Memorial Hall,TAS,With Assistance,"308 John Lees Dr, DILSTON TAS 7252"
147.15203,-41.44152,East Launceston Primary School - P&F Assoc.,TAS,With Assistance,"Oxford St, EAST LAUNCESTON TAS 7250"
146.82194,-41.10686,George Town Memorial Hall,TAS,With Assistance,"29-67 Macquarie St, GEORGE TOWN TAS 7253"
146.83307,-41.1126,George Town South Primary School,TAS,With Assistance,"48-70 Franklin St, GEORGE TOWN TAS 7253"
148.00863,-40.96024,Gladstone Hall,TAS,With Assistance,"1 Carr St, GLADSTONE TAS 7264"
147.06347,-41.50623,Hadspen Uniting Church Centre,TAS,With Assistance,"47 Main St, HADSPEN TAS 7290"
146.97495,-41.23623,Hillwood Memorial Hall,TAS,With Assistance,"280 Jetty Rd, HILLWOOD TAS 7252"
147.1316,-41.42136,Invermay Primary School,TAS,With Assistance,"35-43 Mayne St, INVERMAY TAS 7248"
147.13195,-41.41565,St Finn Barr's School,TAS,With Assistance,"247 Invermay Rd, INVERMAY TAS 7248"
147.14806,-41.25423,Karoola Hall,TAS,With Assistance,"1126 Pipers River Rd, KAROOLA TAS 7267"
147.15942,-41.46782,Y.M.C.A. Centre,TAS,With Assistance,"8a Blaydon St, KINGS MEADOWS TAS 7249"
148.24606,-40.20944,Holloway Park Building,TAS,With Assistance,"Barr St, LADY BARRON TAS 7255"
147.142126,-41.440961,Chalmers Hall,TAS,With Assistance,"163 St John St, LAUNCESTON TAS 7250"
147.13718,-41.43659,Pilgrim Hall,TAS,None,"Pilgrim Uniting Church, 36 Paterson St, LAUNCESTON TAS 7250"
147.2273484,-41.1776544,Lebrina Memorial Hall,TAS,With Assistance,"905 Golconda Rd, LEBRINA TAS 7254"
