state,ec_id,name,premises,address,lat,lon
ACT,,Ainslie North,North Ainslie Primary School,136 Majura Avenue,-35.255295,149.147507
ACT,,Amaroo,Amaroo School,135 Katherine Avenue,-35.164513,149.128387
ACT,,Aranda,Aranda Primary School,1 Banambila Street,-35.255314,149.080322
ACT,,Bonner,Neville Bonner Primary School,60 Mabo Boulevard,-35.161709,149.140756
ACT,,Bonython,Bonython Primary School,64 Hurtle Ave,-35.430943,149.08252
ACT,,Ainslie,Ainslie School,33 Donaldson Street,-35.273299,149.141730
ACT,,Calwell,Calwell High School,111 Casey Crescent,-35.440746,149.117599
ACT,,Campbell,Campbell Primary School,25 Chauvel St,-35.290752,149.155594
ACT,,Chapman,Chapman Primary School,50 Perry Drive,-35.356277,149.043015
ACT,,Charnwood,St Thomas Aquinas Primary School,25 Lhotsky Street,-35.205223,149.030483
ACT,,Charnwood North,Charnwood-Dunlop School,95 Bettington Circuit,-35.198719,149.036179
ACT,,Coombs,Charles Weston School,80 Woodberry Avenue,-35.322382,149.042317
ACT,,Curtin,Curtin Primary School,Theodore Street,-35.330921,149.079758
ACT,,Deakin,Canberra Girls Grammar School (Junior School),24 Grey St,-35.312139,149.110754
ACT,,Downer,Downer Community Centre,Frencham Place,-35.244885,149.144907
ACT,,Duffy,Duffy Primary School,47 Burrinjuck Crescent,-35.33483,149.03324
ACT,,Evatt,Evatt Primary School,42 Heydon Cres,-35.20725,149.0776
ACT,,Evatt South,Miles Franklin Primary School,Alderman Street,-35.213676,149.066147
ACT,,Fadden,Fadden Primary School,5 Hanlon Cres,-35.40374,149.11822
ACT,,Farrer,Farrer Primary School,Lambrigg Street,-35.37812,149.10683
ACT,,Florey,St Francis Xavier College,12 Barnard Circuit,-35.22626,149.04044
ACT,,Forde,Burgmann Anglican School - Forde,Cnr Francis Forde Blvd & Hurrell St,-35.17091,149.14284
ACT,,Fraser,Fraser Primary School,177 Tillyard Drive,-35.191893,149.043024
ACT,,Garran,Garran Primary School,136 Gilmore Crescent,-35.344677,149.102936
ACT,,Gilmore,Gilmore Primary School,219 Heagney Crescent,-35.418915,149.134659
ACT,,Giralang,Giralang Primary School,12 Atalumba Close,-35.21426,149.09521
ACT,,Gordon,Gordon Primary School,15 Knoke Avenue,-35.45644,149.086731
ACT,,Gowrie,Gowrie Primary School,Jeffries Street,-35.413719,149.110703
ACT,,Griffith,St Edmund's College,110 Canberra Avenue,-35.323277,149.145721
ACT,,Hall,Hall School Museum,Corner Palmer and Hoskins Street,-35.166896,149.069321
ACT,,Holder,St Jude's Primary School,49 Mulley Street,-35.334171,149.049881
ACT,,Holt,Kingsford Smith School,100 Starke Street,-35.227711,149.020844
ACT,,Hughes,Hughes Primary School,10 Groom Street,-35.331875,149.093063
ACT,,Isabella Plains,Isabella Plains Early Childhood School,130-140 Ellerston Avenue,-35.428635,149.089127
ACT,,Kaleen,Kaleen Primary School,19 Ashburton Circuit,-35.224274,149.113098
ACT,,Kaleen South,Maribyrnong Primary School,100 Alberga Street,-35.23489,149.10325
ACT,,Kambah North,Taylor Primary School,88 Marconi Crescent,-35.378422,149.063950
ACT,,Kambah South,Namadgi School,141 O'Halloran Circuit,-35.392456,149.067337
ACT,,Kambah West,St Thomas the Apostle Primary School,41 Boddington Crescent,-35.38065,149.053009
ACT,,Latham,Latham Primary School,O'Loghlen St,-35.219757,149.034622
ACT,,Lyneham,Lyneham Primary School,68 Brigalow Street,-35.24749,149.12771
ACT,,Lyons,Lyons Early Childhood School,38 Tarraleah Crescent,-35.34161,149.07651
ACT,,Macgregor,Macgregor Primary School,Hirschfeld Crescent,-35.212910,149.012299
ACT,,Macquarie,Macquarie Primary School,46 Bennelong Crescent,-35.25019,149.05907
ACT,,Mawson,Mawson Primary School,62 Ainsworth Street,-35.35852,149.09785
ACT,,Melba,Mount Rogers Primary School,Alfred Hill Drive,-35.208294,149.055771
ACT,,Monash,Monash Primary School,45 Corlette Crescent,-35.414082,149.090546
ACT,,Narrabundah,Narrabundah Early Childhood School,23-27 Kootara Crescent,-35.329025,149.150543
ACT,,Ngunnawal,Ngunnawal Primary School,11 Unaipon Avenue,-35.16871,149.1111
ACT,,Nicholls,Nicholls Joint Facilities (Gold Creek School Junior Site),40 Kelleway Ave,-35.18173,149.10038
ACT,,Oaks Estate,Oaks Estate Community Hall,2 William Street,-35.342200,149.230563
ACT,,Page,St Matthew's Primary School,12 Stutchbury Street,-35.24049,149.04284
ACT,,Palmerston,Palmerston District Primary School,88 Kosciuszko Avenue,-35.197498,149.120529
ACT,,Pearce,Melrose High School,35 Marr Street,-35.36273,149.08859
ACT,,Red Hill,Red Hill Primary School,25 Astrolabe Street,-35.33911,149.13319
ACT,,Richardson,Richardson Primary School,21 May Gibbs Close,-35.429218,149.114243
ACT,,Scullin,Southern Cross Early Childhood School,Wirraway Crescent,-35.23256,149.03841
ACT,,Taylor,Margaret Hendry School,100 Sutherland Cres,-35.151216,149.114337
ACT,,Tharwa,Tharwa Public Hall,North Street,-35.508937,149.066921
ACT,,Theodore,Theodore Primary School,78 Lawrence Wackett Crescent,-35.447224,149.123260
ACT,,Turner,Turner School,32 Condamine Street,-35.265213,149.126114
ACT,,Wanniassa,Wanniassa School (Senior Campus),184 Wheeler Crescent,-35.395275,149.085660
ACT,,Wanniassa Hills,Wanniassa Hills Primary School,90 Langdon Avenue,-35.392979,149.095490
ACT,,Waramanga,Arawang Primary School,69 Nemarang Crescent,-35.354439,149.059372
ACT,,Watson,Majura Primary School,101 Knox Street,-35.238582,149.15465
ACT,,Weetangera,Weetangera Primary School,49 Southwell Street,-35.251816,149.047562
ACT,,Yarralumla,Yarralumla Primary School,24 Loftus Street,-35.306610,149.102264
