name,premises,address,postcode,lat,lng,polling area
Ainslie North,North Ainslie Primary School,136 Majura Avenue,2602,-35.255295,149.147507,Senior Hall
Amaroo,Amaroo School,135 Katherine Avenue,2914,-35.164513,149.128387,Hall/Canteen
Aranda,Aranda Primary School,1 Banambila Street,2614,-35.255314,149.080322,General Purpose Hall
Bonner,Neville Bonner Primary School,60 Mabo Boulevard,2914,-35.161709,149.140756,School Hall
Bonython,Bonython Primary School,64 Hurtle Ave,2615,-35.430943,149.08252,Hall
Ainslie,Ainslie School,33 Donaldson Street,2612,-35.273299,149.141730,YERRA Building
Calwell,Calwell High School,111 Casey Crescent,2905,-35.440746,149.117599,Gym
Campbell,Campbell Primary School,25 Chauvel St,2612,-35.290752,149.155594,AssGym
Chapman,Chapman Primary School,50 Perry Drive,2611,-35.356277,149.043015,School Hall
Charnwood,St Thomas Aquinas Primary School,25 Lhotsky Street,2617,-35.205223,149.030483,Hall
Charnwood North,Charnwood-Dunlop School,95 Bettington Circuit,2615,-35.198719,149.036179,School Hall
Coombs,Charles Weston School,80 Woodberry Avenue,2904,-35.322382,149.042317,Hall
Curtin,Curtin Primary School,Theodore Street,2605,-35.330921,149.079758,Hall
Deakin,Canberra Girls Grammar School (Junior School),24 Grey St,2600,-35.312139,149.110754,Junior Grammer School hall
Downer,Downer Community Centre,Frencham Place,2602,-35.244885,149.144907,West and East Hall
Duffy,Duffy Primary School,47 Burrinjuck Crescent,2611,-35.33483,149.03324,Hall
Evatt,Evatt Primary School,42 Heydon Cres,2617,-35.20725,149.0776,Assembly Hall
Evatt South,Miles Franklin Primary School,Alderman Street,2617,-35.213676,149.066147,school hall
Fadden,Fadden Primary School,5 Hanlon Cres,2904,-35.40374,149.11822,Hall
Farrer,Farrer Primary School,Lambrigg Street,2607,-35.37812,149.10683,Hall
Florey,St Francis Xavier College,12 Barnard Circuit,2914,-35.22626,149.04044,Performing Arts area
Forde,Burgmann Anglican School - Forde,Cnr Francis Forde Blvd & Hurrell St,2914,-35.17091,149.14284,Forde Campus Hall
Fraser,Fraser Primary School,177 Tillyard Drive,2611,-35.191893,149.043024,School Hall
