state,ec_id,wheelchair_access,lat,lon,name,premises,address
ACT,,Unknown,-35.255295,149.147507,Ainslie,North Ainslie Primary School,"122 Majura Avenue, Ainslie"
ACT,,Unknown,-35.165154,149.128693,Amaroo,Amaroo School,"135 Katherine Avenue, Amaroo"
ACT,,Unknown,-35.255314,149.080322,Aranda,Aranda Primary School,"1 Banambila Street, Aranda"
ACT,,Unknown,-35.161709,149.140756,Bonner,Neville Bonner Primary School,"60 Mabo Boulevard, Bonner"
ACT,,Unknown,-35.2734,149.139706,Braddon,Ainslie School,"Donaldson Street, Braddon"
ACT,,Unknown,-35.440895,149.117645,Calwell,Calwell High School,"111 Casey Crescent, Calwell"
ACT,,Unknown,-35.290355,149.156167,Campbell,Campbell Primary School,"Chauvel Street, Campbell"
ACT,,Unknown,-35.356533,149.042725,Chapman,Chapman Primary School,"46 - 50 Perry Drive, Chapman"
ACT,,Unknown,-35.205223,149.030483,Charnwood,St Thomas Aquinas Primary School,"25 Lhotsky Street, Charnwood"
ACT,,Unknown,-35.419892,149.122593,Chisholm,Caroline Chisholm School (Primary Campus),"108 Hambidge Crescent, Chisholm"
ACT,,Unknown,-35.320236,149.040783,Coombs,Charles Weston School,"80 Woodberry Avenue, Coombs"
ACT,,Unknown,-35.331319,149.07985,Curtin,Curtin Primary School,"Theodore Street, Curtin"
ACT,,Unknown,-35.244885,149.144907,Downer,Downer Community Centre,"Frencham Place, Downer"
ACT,,Unknown,-35.335209,149.032303,Duffy,Duffy Primary School,"47 Burrinjuck Crescent, Duffy"
ACT,,Unknown,-35.212829,149.066617,Evatt,Miles Franklin Primary School,"Alderman Street, Evatt"
ACT,,Unknown,-35.403696,149.118423,Fadden,Fadden Primary School,"5 Hanlon Crescent, Fadden"
ACT,,Unknown,-35.224602,149.040428,Florey,St Francis Xavier College,"Barnard Circuit, Florey"
ACT,,Unknown,-35.191893,149.043024,Fraser,Fraser Primary School,"177 Tillyard Drive, Fraser"
ACT,,Unknown,-35.456412,149.08673,Gordon,Gordon Primary School,"Knoke Avenue, Gordon"
ACT,,Unknown,-35.413097,149.110397,Gowrie,Gowrie Primary School,"Jeffries Street, Gowrie"
ACT,,Unknown,-35.199207,149.151535,Harrison,Harrison School,"20 Wimmera Street, Harrison"
ACT,,Unknown,-35.428518,149.089365,Isabella Plains,Isabella Plains Early Childhood School,"130-140 Ellerston Avenue, Isabella Plains"
ACT,,Unknown,-35.235031,149.102768,Kaleen,Maribyrnong Primary School,"100 Alberga Street, Kaleen"
ACT,,Unknown,-35.224648,149.11322,Kaleen,Kaleen Primary School,"19 Ashburton Circuit, Kaleen"
ACT,,Unknown,-35.392456,149.067337,Kambah,Namadgi School,"141 O'Halloran Circuit, Kambah"
ACT,,Unknown,-35.378397,149.063919,Kambah,Taylor Primary School,"88 Marconi Crescent, Kambah"
ACT,,Unknown,-35.251403,149.125704,Lyneham,Lyneham Primary School,"68 Brigalow Street, Lyneham"
ACT,,Unknown,-35.212341,149.011993,Macgregor,Macgregor Primary School,"Hirschfeld Crescent, Macgregor"
ACT,,Unknown,-35.358524,149.097687,Mawson,Mawson Primary School,"62 Ainsworth Street, Mawson"
ACT,,Unknown,-35.208294,149.055771,Melba,Mount Rogers Primary School,"52 Alfred Hill Drive, Melba"
ACT,,Unknown,-35.414528,149.089249,Monash,Monash Primary School,"45 Corlette Crescent, Monash"
ACT,,Unknown,-35.329025,149.150543,Narrabundah,Narrabundah Early Childhood School,"23-25 Kootara Crescent, Narrabundah"
ACT,,Unknown,-35.168819,149.111694,Ngunnawal,Ngunnawal Primary School,"11 Unaipon Avenue, Ngunnawal"
ACT,,Unknown,-35.197454,149.120739,Palmerston,Palmerston District Primary School,"80 Kosciuszko Avenue, Palmerston"
ACT,,Unknown,-35.362738,149.088616,Pearce,Melrose High School,"Marr Street, Pearce"
ACT,,Unknown,-35.339027,149.13269,Red Hill,Red Hill Primary School,"Astrolabe Street, Red Hill"
ACT,,Unknown,-35.232551,149.038407,Scullin,Southern Cross Early Childhood School,"33 Wirraway Crescent, Scullin"
ACT,,Unknown,-35.151691,149.112896,Taylor,Margaret Hendry School,"100 Sutherland Crescent, Taylor"
ACT,,Unknown,-35.265213,149.126114,Turner,Turner School,"32 Condamine Street, Turner"
ACT,,Unknown,-35.392986,149.09613,Wanniassa,Wanniassa Hills Primary School,"Langdon Avenue, Wanniassa"
ACT,,Unknown,-35.354931,149.059174,Waramanga,Arawang Primary School,"Nemarang Crescent, Waramanga"
ACT,,Unknown,-35.23859,149.154938,Watson,Majura Primary School,"101 Knox Street, Watson"
ACT,,Unknown,-35.25201,149.047577,Weetangera,Weetangera Primary School,"71 Southwell Street, Weetangera"
ACT,,Unknown,-35.30683,149.102134,Yarralumla,Yarralumla Primary School,"24 Loftus Street, Yarralumla"
