StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,,,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff,booth_info
,Overseas,All,,,Australian High Commission,Current,"BANGLADESH, Dhaka",,,"184 Gulshan Avenue, Gulsha 2, Dhaka 1212, BANGLADESH",,,,,,,,,,,,,23.7818117,90.4166798,,,,,,,"phone: +880 2 881 3101-5, fax: +880 2 881 1125, web: http://www.bangladesh.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"EGYPT, Cairo",,,"11th Floor World Trade Centre, Corniche El Nil Boulac, Code No.11111, Cairo, EGYPT",,,,,,,,,,,,,30.0444196,31.2357116,,,,,,,"phone: +202 2770 6600, fax: +202 2770 6650, web: http://www.egypt.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"ETHIOPIA, Addis Ababa",,,"Hilton Hotel, Menelik II Avenue, Addis Ababa, ETHIOPIA",,,,,,,,,,,,,9.022736,38.746799,,,,,,,"phone: +251 11 552 3320, fax: +251 11 552 3344, web: http://ethiopia.embassy.gov.au/adba/home.html, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"GERMANY, Frankfurt",,,"Main Tower, 28th Floor, Neue Mainzer Strasse, 52-58, Frankfurt 60311, GERMANY",,,,,,,,,,,,,50.1122571,8.6725576,,,,,,,"phone: +49 69 9055 80, fax: +49 69 9055 8119, web: http://www.dfat.gov.au/missions/countries/defr.html, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"IRAN, Tehran",,,"No. 2, 23rd Street, Khalid Islambuli Ave, Tehran 15138, IRAN",,,,,,,,,,,,,35.7048679,51.4000833,,,,,,,"phone: +98 21 8386 3666, fax: +98 21 8872 0484, web: http://www.iran.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"IRAQ, Baghdad",,,"International Zone, Baghdad, IRAQ",,,,,,,,,,,,,33.3033333,44.3541667,,,,,,,"phone: +964 790 191 2359, fax: , web: http://www.iraq.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"JAPAN, Fukuoka",,,"7th Floor Tenjin Twin Building, 1-6-8 Tenjin, Chuo-ku, Fukuoka 810-0001, JAPAN",,,,,,,,,,,,,33.5902074,130.3976602,,,,,,,"phone: +81 92 734 5055, fax: +81 92 734 5058, web: http://www.dfat.gov.au/missions/countries/jpfu.html, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"JAPAN, Osaka",,,"Twin 21 MID Tower, 16th Floor,, 2-1-61, Shiromi, Chuo-ku, Osaka 540-6116, JAPAN",,,,,,,,,,,,,34.6927995,135.5314599,,,,,,,"phone: +81 6 6941 9448, fax: +81 6 6920 4543, web: http://www.dfat.gov.au/missions/countries/jpos.html, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"JAPAN, Sapporo",,,"17th Floor, Sapporo Centre Building, North 5, West 6-2, Chuo-ku, Sapporo 060-0005, JAPAN",,,,,,,,,,,,,43.065442,141.3365573,,,,,,,"phone: +81 11 242 4381, fax: +81 11 242 4383, web: http://www.dfat.gov.au/missions/countries/jpsa.html, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian High Commission,Current,"MAURITIUS, Port Louis",,,"2nd Floor Rogers House, 5 President John Kennedy Street, Port Louis, MAURITIUS",,,,,,,,,,,,,-20.1619906,57.5004751,,,,,,,"phone: +230 202 0160, fax: +230 208 8878, web: http://www.mauritius.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"NEW CALEDONIA, Noumea",,,"7th Floor, Immeuble Foch, 19 Avenue Du Marechal Foch, Noumea, NEW CALEDONIA",,,,,,,,,,,,,-22.2705486,166.4426001,,,,,,,"phone: +687 272 414, fax: +687 278 001, web: http://www.australianconsulatenoumea.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian High Commission,Current,"NIGERIA, Abuja",,,"5th Floor Oakland Centre, 48 Aguiyi Ironsi Street, Maitama, Abuja, NIGERIA",,,,,,,,,,,,,9.0839704,7.4840069,,,,,,,"phone: +234 9 4612780, fax: +234 9 4612782, web: http://www.nigeria.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"PAKISTAN, Islamabad",,,"Constitution Ave & Ispahani Rd, Diplomatic Enclave No.1, Sector G-5/4, Islamabad, PAKISTAN",,,,,,,,,,,,,33.6994709,73.0472004,,,,,,,"phone: +92 51 835 5500, fax: +92 51 282 0112, web: http://www.pakistan.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"SAUDI ARABIA, Riyadh",,,"Abdullah bin Hozafa Al-Sahmi Avenue, Diplomatic Quarter, Riyadh, SAUDI ARABIA",,,,,,,,,,,,,24.6778267,46.6222727,,,,,,,"phone: +966 11 250 0900, fax: +966 11 250 0902, web: http://www.saudiarabia.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"TURKEY, Ankara",,,"Ugur Mumcu Caddesi No.88 7th floor, Gaziosmanpasa 6700, Ankara, TURKEY",,,,,,,,,,,,,39.8957656,32.8789463,,,,,,,"phone: +90 312 459 9500, fax: +90 312 446 4827, web: www.turkey.embassy.gov.au, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"TURKEY, Canakkale",,,"Bogazkent Mevki, Kolin Hotel L2, Kepez/Canakkale, TURKEY",,,,,,,,,,,,,40.155312,26.41416,,,,,,,"phone: +90 286 218 1721, fax: +90 286 218 1724, web: http://www.dfat.gov.au/missions/countries/trck.html, exact latitude/longitude not provided by AEC"
