StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff,booth_info
,Overseas,All,,,Australian Embassy,Current,"UNITED ARAB EMIRATES, Abu Dhabi","Level 8,  Al Muhairy Centre, Zayed the First Street, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,24.4803534,54.3550941,,,,,,,
,Overseas,All,,,Australian High Commission,Current,"GHANA, Accra","2, Second Rangoon Close, corner Josef B. Tito Avenue, Cantonments, Accra, GHANA",,,,,,,,,,,,,5.5800814,-0.1752525,,,,,,,"phone: +233 302 216 400, fax: +233 302 216 410, web: http://www.ghana.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"JORDAN, Amman","41 Kayed Al Armouti St, Abdoun, Amman, JORDAN",,,,,,,,,,,,,31.9565783,35.9456951,,,,,,,"phone: +962 6 580 7000, fax: +962 6 580 7001, web: http://www.jordan.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian High Commission,Current,"SAMOA, Apia","Beach Road, Apia, SAMOA",,,,,,,,,,,,,-13.8327133,-171.7646642,,,,,,,"phone: +685 23 411, fax: +685 23 159, web: http://www.samoa.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"GREECE, Athens","Australian Embassy Level 2 5 Hatziyianni Mexi Street Athens, 11528, GREECE",,,,,,,,,,,,,37.97688,23.751998,,,,,,,"phone: +30 210 870 4000, fax: +30 210 870 4055, web: http://www.greece.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"NEW ZEALAND, Auckland","Level 7 PriceWaterHouseCoopers Tower, 186-194 Quay Street, Auckland, NEW ZEALAND",,,,,,,,,,,,,-36.8424654,174.7637113,,,,,,,"phone: +64 9 921 8800, fax: +64 9 921 8820, web: http://www.dfat.gov.au/missions/countries/nzau.html, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Consulate General,Current,"INDONESIA, Bali","Jalan Tantular No 32, Renon, Denpasar, Bali, 80234, INDONESIA",,,,,,,,,,,,,-8.6701557,115.2283897,,,,,,,"phone: +62 361 241 118, fax: +62 361 221 195, web: http://www.bali.indonesia.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian High Commission,Current,"BRUNEI DARUSSALAM, Bandar Seri Begawan","Level 6, DAR Takaful IBB Utama, Jalan Pemancha, Bandar Seri Begawan BS8711, BRUNEI DARUSSALAM",,,,,,,,,,,,,4.8887267,114.9418335,,,,,,,"phone: +673 222 9435, fax: +673 222 1652, web: http://www.bruneidarussalam.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"THAILAND, Bangkok","181 Wireless Road, Lumphini, Pathumwan, Bangkok 10330, Thailand",,,,,,,,,,,,,13.728524,100.547028,,,,,,,"phone: +66 2 344 6300, fax: +66 2 344 6593, web: http://www.thailand.embassy.gov.au/, exact latitude/longitude not provided by AEC"
,Overseas,All,,,Australian Embassy,Current,"CHINA, Beijing","21 Dongzhimenwai Dajie, Sanlitun, Beijing 10060, CHINA",,,,,,,,,,,,,39.941668,116.448167,,,,,,,"phone: +86 10 5140 4111, fax: +86 10 5140 4204, web: http://www.china.embassy.gov.au/"
