ec_id,name,divisions,premises,address,lat,lon,state,wheelchair_access,wheelchair_access_description
,Beecroft Community Centre,Epping,Beecroft Community Centre,"111 Beecroft Road, Beecroft 2119",-33.7512928,151.0654869,NSW,Full,
,Beecroft Public School,Epping,Beecroft Public School,"Mary Street, Beecroft 2119",-33.7517360,151.0649670,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Boronia Grove Community Centre,Epping,Boronia Grove Community Centre,"40 Victoria Street, Enter via Rawson Street Carpark, Epping 2121",-33.7732290,151.0796970,NSW,Full,
,Burnside Gardens Community Centre,Epping,Burnside Gardens Community Centre,"3 Blackwood Place, Oatlands 2117",-33.7944934,151.0178534,NSW,Full,
,Carlingford Public School,Epping,Carlingford Public School,"Rickard Street, Carlingford 2118",-33.7802660,151.0555080,NSW,Assisted,No designated accessible parking spot
,Cheltenham Girls High School,Epping,Cheltenham Girls High School,"The Promenade, Cheltenham 2119",-33.7564540,151.0747690,NSW,Assisted,Access ramp does not meet standards; Path of travel from car park may be difficult
,Dundas Public School,Epping,Dundas Public School,"85 Kissing Point Road, Dundas 2117",-33.8035120,151.0367550,NSW,Assisted,No designated accessible parking spot
,Epping Heights Public School,Epping,Epping Heights Public School,"128 Kent Street, Epping 2121",-33.7627420,151.0730220,NSW,Assisted,No designated accessible parking spot; Path of travel from car park may be difficult
,Epping North Public School,Epping,Epping North Public School,"Boundary Road, North Epping 2121",-33.7570490,151.0957380,NSW,Full,
,Epping Public School,Epping,Epping Public School,"Norfolk Road, Epping 2121",-33.7707420,151.0874360,NSW,Assisted,Path of travel from car park may be difficult
,Epping West Public School,Epping,Epping West Public School,"96 Carlingford Road, Epping West 2121",-33.7735270,151.0683130,NSW,Assisted,Path of travel from car park may be difficult
,James Ruse Agricultural High School,Epping,James Ruse Agricultural High School,"17-31 Felton Road, Carlingford 2118",-33.7812960,151.0427730,NSW,Assisted,No accessible toilet; No designated accessible parking spot; Path of travel from car park may be difficult
,Muirfield High School,Epping,Muirfield High School,"Barclay Road, North Rocks 2151",-33.7658070,151.0224130,NSW,Assisted,Building has lips and/or steps; No accessible toilet; No designated accessible parking spot; Access ramp does not meet standards
,Murray Farm Public School,Epping,Murray Farm Public School,"Dryden Avenue, Carlingford 2118",-33.7656570,151.0390790,NSW,Assisted,Path of travel from car park may be difficult
,North Rocks Public School,Epping,North Rocks Public School,"359 North Rocks Road, North Rocks 2151",-33.7685640,151.0259100,NSW,Assisted,No designated accessible parking spot; Building has lips and/or steps; No accessible toilet
,North Rocks Senior Citizens Centre,Epping,North Rocks Senior Citizens Centre,"358Z North Rocks Road, Carlingford 2118",-33.7707756,151.0385695,NSW,Full,
,Oatlands Public School,Epping,Oatlands Public School,"Belmore Street East, Oatlands 2117",-33.7999960,151.0229810,NSW,None,
,Roselea Public School,Epping,Roselea Public School,"549 North Rocks Road, Carlingford 2118",-33.7651570,151.0543150,NSW,Full,
