ec_id,name,divisions,premises,address,lat,lon,state,wheelchair_access,wheelchair_access_description
,Albury High School,Albury,Albury High School,"Griffith Street, Albury 2640",-36.0734330,146.9163790,NSW,Assisted,No designated accessible parking spot; No accessible toilet; Access ramp does not meet standards
,Albury Masonic Centre,Albury,Albury Masonic Centre,"Gulpha Street, Albury North 2640",-36.0543260,146.9340590,NSW,Assisted,No designated accessible parking spot; Access ramp does not meet standards
,Albury North Public School,Albury,Albury North Public School,"868 Mate Street, North Albury 2640",-36.0641180,146.9323230,NSW,Assisted,Path of travel from car park may be difficult; No accessible toilet; No designated accessible parking spot
,Albury PCYC,Albury,Albury PCYC,"236 Andrews Street, East Albury 2640",-36.0712460,146.9382310,NSW,Assisted,No designated accessible parking spot
,Albury Public School,Albury,Albury Public School,"Smollett Street, Albury 2640",-36.0829410,146.9193680,NSW,Assisted,No designated accessible parking spot; No accessible toilet
,Albury West Public School,Albury,Albury West Public School,"511 Mott Street, West Albury 2640",-36.0774440,146.8956870,NSW,Assisted,Path of travel from car park may be difficult; No accessible toilet; No designated accessible parking spot
,Glenroy Public School,Albury,Glenroy Public School,"600 Logan Road, North Albury 2640",-36.0554220,146.9171720,NSW,Assisted,Path of travel from car park may be difficult; No accessible toilet
,Hume Public School,Albury,Hume Public School,"Cheyenne Drive, Lavington 2641",-36.0495200,146.9475420,NSW,Assisted,No accessible toilet; Path of travel from car park may be difficult; No designated accessible parking spot
,Jindera Public School,"Greater Hume, Albury",Jindera Public School,"Dight Street, Jindera 2642",-35.9590500,146.8866790,NSW,Full,
,Lavington East Public School,Albury,Lavington East Public School,"Douglas Road, Lavington 2641",-36.0397940,146.9481110,NSW,Full,
,Lavington Public School,Albury,Lavington Public School," 497 Hague Street, Lavington 2641",-36.0379510,146.9276470,NSW,Assisted,No designated accessible parking spot
,Orana Comm Cntr,Albury,Orana Comm Cntr,"40 Cardo Dr, Springdale Heights 2641",-36.0326313,146.9517410,NSW,None,
,Table Top Public School,Albury,Table Top Public School,"556 Burma Road, Table Top 2640",-35.9664620,147.0078740,NSW,Assisted,Path of travel from car park may be difficult; No designated accessible parking spot
,Thurgoona Community Centre,Albury,Thurgoona Community Centre,"10 Kosciuszko Road, Thurgoona 2640",-36.0491490,146.9911140,NSW,Full,
