name,premises,address,lat,lon,state,wheelchair_access
Boonah,"Heritage Room, Boonah Cultural Centre","3 High Street, Boonah, QLD Australia 4310",-27.998542,152.681999,QLD,Full Access
Acacia Ridge,Acacia Ridge State School - Sports Hall,"Nyngam Street, ACACIA RIDGE, QLD Australia 4110",-27.5791894,153.01408589,QLD,Full Access
Agnes Water,Agnes Water Community Centre,"71 Springs Road, Agnes Water, QLD Australia 4677",-24.21136009,151.90994238,QLD,Assisted Access
Airlie Beach,PCYC Whitsunday,"2489 Shute Harbour Road, AIRLIE BEACH, QLD Australia 4802",-20.27749503,148.72713804,QLD,Full Access
Aitkenvale,Aitkenvale State School,"67-85 Wotton Street, AITKENVALE, QLD Australia 4814",-19.29609662,146.76270425,QLD,Assisted Access
Albany Creek North,Albany Creek State School,"696 Albany Creek Road, ALBANY CREEK, QLD Australia 4035",-27.34620641,152.97049999,QLD,Full Access
Albany Creek South,Albany Creek State High School,"2-14 Albany Forest Drive, ALBANY CREEK, QLD Australia 4035",-27.357459,152.969198,QLD,Assisted Access
Albany Hills,Albany Hills State School,"Cnr Keong & Old Northern Roads, ALBANY CREEK, QLD Australia 4035",-27.359800999999997,152.973842,QLD,Full Access
Alberton,St Peter's Lutheran Church Hall,"187 Alberton Road, ALBERTON, QLD Australia 4207",-27.70320459,153.25669169,QLD,Assisted Access
Alderley,Alderley Kindergarten & Preschool,"76 South Pine Road, ALDERLEY, QLD Australia 4051",-27.42287137,152.99956709,QLD,Assisted Access
Diwan,Alexandra Bay State School,"1630 Cape Tribulation Road, DIWAN, QLD Australia 4873",-16.21416464,145.4225117,QLD,Full Access
Alexandra Hills,Alexandra Hills State School,"12 Princeton Avenue, ALEXANDRA HILLS, QLD Australia 4161",-27.518457689999998,153.22097272,QLD,Assisted Access
Algester,Algester State School,"Endiandra Street (access via Ridgewood Road), ALGESTER, QLD Australia 4115",-27.61484037,153.03023815,QLD,Full Access
Allenstown,Allenstown State School Assembly Hall,"Caroline Street, ALLENSTOWN, QLD Australia 4700",-23.391609,150.503684,QLD,Full Access
Alligator Creek,Alligator Creek State School,"50 Grasstree Road, ALLIGATOR CREEK, QLD Australia 4740",-21.32880599,149.21081543,QLD,Full Access
