ec_id,name,premises,address,lat,lon,state,wheelchair_access,entrance_desc,opening_hours,divisions
,Acacia Ridge,Acacia Ridge State School - Sports Hall,"Nyngam Street, ACACIA RIDGE, QLD Australia 4110",-27.579189400000001,153.01408588999999,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Acacia Ridge South,Watson Road State School,"210 Watson Road, ACACIA RIDGE, QLD Australia 4110",-27.593082249999998,153.01820040000001,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Algester,Algester State School,"Endiandra Street, ALGESTER, QLD Australia 4115",-27.615903,153.0321271,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Algester South,St Stephen's Catholic Primary School,"156 Ridgewood Road, Algester, QLD Australia 4115",-27.619104,153.029539,QLD,Full,Entry via Ackama Street,08:00 AM - 06:00 PM,Algester
,Brisbane CBD,Brisbane City Hall.,"64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.46870501779985,153.0238493466965,QLD,Full,Entry via Main Entrance in King George Square,08:00 AM - 06:00 PM,Algester
,Browns Plains,Browns Plains State School,"1-29 Mayfair Drive, BROWNS PLAINS, QLD Australia 4118",-27.668313999999999,153.053888,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Calamvale,Calamvale Community College,"11 Hamish Street, CALAMVALE, QLD Australia 4116",-27.627030999999999,153.043004,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Forest Lake East,Forest Lake State High School,"High Street, FOREST LAKE, QLD Australia 4078",-27.623892999999999,152.97201899999999,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Heritage Park,Yugumbir State School,"163-189 Vansittart Road, REGENTS PARK, QLD Australia 4118",-27.676679999999998,153.04957899999999,QLD,Full,"Redgum Drive, Regents Park QLD 4118",08:00 AM - 06:00 PM,Algester
,Hillcrest,Life & Legacy Church,"Unit 13/98 Anzac Avenue, Hillcrest, QLD Australia 4118",-27.6656858,153.0325871,QLD,Assisted,,08:00 AM - 06:00 PM,Algester
,Pallara,Pallara State School,"39 Ritchie Road, PALLARA, QLD Australia 4110",-27.629868519999999,152.99401201000001,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Regents Park,Regents Park State School,"42-60 Emerald Drive, REGENTS PARK, QLD Australia 4118",-27.68224,153.03429800000001,QLD,Full,,08:00 AM - 06:00 PM,Algester
,Aspley,Aspley Special School Hall,"751 Zillmere Road, Aspley, QLD Australia 4034",-27.356769750000002,153.02166581,QLD,Full,,08:00 AM - 06:00 PM,Aspley
,Aspley East,Aspley East State School - Multi Purpose Activity Centre,"31 Helena Street, Aspley, QLD Australia 4034",-27.3619034,153.0241169,QLD,Full,Access via Clorane Street,08:00 AM - 06:00 PM,Aspley
,Aspley West,Aspley State School Hall,"316 Maundrell Terrace, Aspley, QLD Australia 4034",-27.3690725,153.0140991,QLD,Assisted,Horn Rd Carpark to be used and main hall front entry to gain access,08:00 AM - 06:00 PM,Aspley
,Bald Hills,Bald Hills State School Hall,"2156 Gympie Road, BALD HILLS, QLD Australia 4036",-27.320000969999999,153.00654888,QLD,Full,,08:00 AM - 06:00 PM,Aspley
,Bridgeman Downs,Church of the Resurrection Hall,"30 Ridley Road, BRIDGEMAN DOWNS, QLD Australia 4035",-27.352311999999998,153.003794,QLD,Assisted,,08:00 AM - 06:00 PM,Aspley
,Brisbane CBD,Brisbane City Hall.,"64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.46870501779985,153.0238493466965,QLD,Full,Entry via Main Entrance in King George Square,08:00 AM - 06:00 PM,Aspley
,Chermside West,Craigslea State High School Auditorium,"685 Hamilton Road, CHERMSIDE WEST, QLD Australia 4035",-27.3834922,153.0180464,QLD,Full,,08:00 AM - 06:00 PM,Aspley
,Geebung,Geebung State School - Activities Hall,"250 Newman Road, Geebung, QLD Australia 4034",-27.375104999999998,153.04594600000001,QLD,Assisted,,08:00 AM - 06:00 PM,Aspley
,McDowall,McDowall State School,"1018 Rode Road, MCDOWALL, QLD Australia 4053",-27.388201290000001,152.98951149000001,QLD,Full,,08:00 AM - 06:00 PM,Aspley
,Zillmere,St Matthias Anglican Church,"74 Murphy Road, Zillmere, QLD Australia 4034",-27.3651568,153.037432,QLD,Assisted,,08:00 AM - 06:00 PM,Aspley
,Brisbane CBD,Brisbane City Hall.,"64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.46870501779985,153.0238493466965,QLD,Full,Entry via Main Entrance in King George Square,08:00 AM - 06:00 PM,Bancroft
,Burpengary East,The Artisans' Guild,"Cnr Old Bay & Maitland Roads, BURPENGARY EAST, QLD Australia 4505",-27.157779600000001,152.99001575,QLD,Full,,08:00 AM - 06:00 PM,Bancroft
,Deception Bay North,Deception Bay Community Hall,"Cnr Bayview Terrace & Ewart Street, DECEPTION BAY, QLD Australia 4508",-27.18439072,153.02537262000001,QLD,Assisted,,08:00 AM - 06:00 PM,Bancroft
,Deception Bay South,Deception Bay State High School,"Government Street, DECEPTION BAY, QLD Australia 4508",-27.200945999999998,153.030124,QLD,Assisted,,08:00 AM - 06:00 PM,Bancroft
,Deception Bay West,Deception Bay North State School,"33-49 Old Bay Road, DECEPTION BAY, QLD Australia 4508",-27.1820707,153.0151112,QLD,Full,Gate 2 or 3 front.,08:00 AM - 06:00 PM,Bancroft
,Mango Hill,Mango Hill Community Centre,"Chermside Road, MANGO HILL, QLD Australia 4509",-27.218385099999999,153.02905798,QLD,Assisted,,08:00 AM - 06:00 PM,Bancroft
,Moreton Downs,Moreton Downs State School,"Parsons Boulevard, DECEPTION BAY, QLD Australia 4508",-27.1975745,153.0183169,QLD,Full,Gate 1 and 3,08:00 AM - 06:00 PM,Bancroft
,North Lakes,North Lakes State College - Senior Campus Sports Hall,"1 The Corso, NORTH LAKES, QLD Australia 4509",-27.2398104,153.0174791,QLD,None,,08:00 AM - 06:00 PM,Bancroft
,North Lakes North,Bounty Boulevard State School,"195 Bounty Boulevard, NORTH LAKES, QLD Australia 4509",-27.215627770000001,153.00750375000001,QLD,Assisted,,08:00 AM - 06:00 PM,Bancroft
,Brisbane CBD,Brisbane City Hall.,"64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.46870501779985,153.0238493466965,QLD,Full,Entry via Main Entrance in King George Square,08:00 AM - 06:00 PM,Barron River
,Caravonica,Caravonica State School,"Lot 3 1115R Kamerunga Road, CARAVONICA, QLD Australia 4878",-16.852578650000002,145.69534868,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Clifton Beach,Clifton Beach Tennis Club,"Edward Mann Park 13 Clifton Beach Road, CLIFTON BEACH, QLD Australia 4879",-16.768818282868082,145.6757587387619,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Freshwater,Freshwater State School,"10 Corkill Street, FRESHWATER, QLD Australia 4870",-16.880306839999999,145.71424751999999,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Holloways Beach,Holloways Beach Community Hall,"65 Oleander Street, HOLLOWAYS BEACH, QLD Australia 4878",-16.84291872,145.73882460999999,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Kewarra Beach,Generations Church Beaches,"1-3 Moore Rd, Kewarra Beach, QLD Australia 4879",-16.7958655,145.6811854,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Kuranda,Kuranda QCWA Hall,"20 Thongon Street, KURANDA, QLD Australia 4881",-16.820477575714342,145.63668079895018,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Machans Beach,Machans Beach State School,"61 Machan Street, MACHANS BEACH, QLD Australia 4878",-16.852629990000001,145.74526592999999,QLD,Assisted,,08:00 AM - 06:00 PM,Barron River
,Redlynch,Redlynch State College,"Jungara Road, REDLYNCH, QLD Australia 4870",-16.908885510000001,145.69607823999999,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Smithfield,Smithfield State High School,"O'Brien Road, SMITHFIELD, QLD Australia 4878",-16.812151499999999,145.69537550000001,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Stratford,Stratford Community Hall,"15 Kamerunga Road, STRATFORD, QLD Australia 4870",-16.87570736,145.73242619999999,QLD,Full,,08:00 AM - 06:00 PM,Barron River
,Trinity Beach,Tropical North Learning Academy - Trinity Beach State School,"Wewak Street, TRINITY BEACH, QLD Australia 4879",-16.794639879999998,145.69006204999999,QLD,Assisted,Gate access via Madang Street,08:00 AM - 06:00 PM,Barron River
,Yorkeys Knob,Yorkeys Knob State School,"26-38 Clinton Street, YORKEYS KNOB, QLD Australia 4878",-16.81438013,145.72317122999999,QLD,Assisted,,08:00 AM - 06:00 PM,Barron River
,Arundel,Arundel State School,"185 Napper Road, ARUNDEL, QLD Australia 4214",-27.944857880000001,153.36605607999999,QLD,Full,,08:00 AM - 06:00 PM,Bonney
,Arundel East,Arundel Presbyterian Church,"132 Allied Drive, Arundel, QLD Australia 4214",-27.938692999999997,153.386011,QLD,Full,,08:00 AM - 06:00 PM,Bonney
,Biggera Waters,Biggera Waters State School Hall,"Coombabah Road, BIGGERA WATERS, QLD Australia 4216",-27.927596999999999,153.39677499999999,QLD,Full,entry via Morala Ave,08:00 AM - 06:00 PM,Bonney
,Brisbane CBD,Brisbane City Hall.,"64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.46870501779985,153.0238493466965,QLD,Full,Entry via Main Entrance in King George Square,08:00 AM - 06:00 PM,Bonney
,Coombabah South,Coombabah State High School,"550 Pine Ridge Road, COOMBABAH, QLD Australia 4216",-27.923665999999997,153.378244,QLD,Full,,08:00 AM - 06:00 PM,Bonney
,Harley Park,Labrador Senior Citizens Hall,"370 Marine Parade, LABRADOR, QLD Australia 4215",-27.940671999999999,153.40748300000001,QLD,Full,via Broad Street,08:00 AM - 06:00 PM,Bonney
,Labrador,Labrador State School,"Imperial Parade, LABRADOR, QLD Australia 4215",-27.942504,153.401994,QLD,Full,No gate. Direct entry to hall,08:00 AM - 06:00 PM,Bonney
,Southport North,Southport State High School,"Brooke Avenue, SOUTHPORT, QLD Australia 4215",-27.962475749999999,153.40266287,QLD,Full,,08:00 AM - 06:00 PM,Bonney
,Biggera Waters,Biggera Waters State School Hall,"Coombabah Road, BIGGERA WATERS, QLD Australia 4216",-27.927596999999999,153.39677499999999,QLD,Full,entry via Morala Ave,08:00 AM - 06:00 PM,Broadwater
,Brisbane CBD,Brisbane City Hall.,"64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.46870501779985,153.0238493466965,QLD,Full,Entry via Main Entrance in King George Square,08:00 AM - 06:00 PM,Broadwater
,Coombabah,Coombabah State School,"164-172 Oxley Drive, COOMBABAH, QLD Australia 4216",-27.89437659931857,153.388410832016,QLD,Full,,08:00 AM - 06:00 PM,Broadwater
,Helensvale North,Helensvale State High School,"243 Discovery Drive, HELENSVALE, QLD Australia 4210",-27.896901999999997,153.32679300000001,QLD,Assisted,,08:00 AM - 06:00 PM,Broadwater
,Hope Island,Banksia Park Hall,"27 Crescent Avenue, HOPE ISLAND, QLD Australia 4212",-27.87386923,153.37545455,QLD,Full,,08:00 AM - 06:00 PM,Broadwater
