di_name,pplace,disabled_code,AccessDetails,suburb,Address,FormatAddress,SortId,Longitude,Latitude
Adelaide,Adelaide,F,,ADELAIDE,Christian Brothers College (Senior Campus),"214 Wakefield St, ADELAIDE",,138.60935,-34.92788
Adelaide,Adelaide South,A,,ADELAIDE,Gilles St Primary School,"91-93 Gilles St, ADELAIDE",,138.604511,-34.934369
Adelaide,Adelaide West,F,,ADELAIDE,Adelaide High School,"West Tce, ADELAIDE",,138.587085,-34.925624
Adelaide,Nailsworth,A,,NAILSWORTH,Nailsworth Primary School,"2 Balfour St, NAILSWORTH",,138.603328,-34.882844
Adelaide,North Adelaide,A,via Gover St,NORTH ADELAIDE,North Adelaide Primary School,"62-80 Tynte St, NORTH ADELAIDE",,138.597561,-34.905119
Adelaide,North Adelaide East,A,,NORTH ADELAIDE,St Cyprian's Anglican Church,"70 Melbourne St, NORTH ADELAIDE",,138.608547,-34.906083
Adelaide,Prospect,A,via Braund Rd,PROSPECT,Prospect Primary School,"27 Gladstone Rd, PROSPECT",,138.59,-34.8852
Adelaide,Prospect North,A,via Arthur St,PROSPECT,Prospect North Primary School,"30 Stuart Rd, PROSPECT",,138.596073,-34.875284
Adelaide,Prospect South,F,,PROSPECT,Blackfriars Priory Gym,"22-24 Highbury St, PROSPECT",,138.5966919,-34.89537746
Adelaide,Walkerville,A,,WALKERVILLE,Walkerville Primary School,"159 Stephen Tce, WALKERVILLE",,138.613,-34.8953
Adelaide,Walkerville North,A,,WALKERVILLE,St Monica's Parish School,"92 North East Rd, WALKERVILLE",,138.616,-34.8876
Badcoe,Ascot Park,F,,ASCOT PARK,Active Elders Association,"27a Charles St, ASCOT PARK",,138.562874,-34.990835
Badcoe,Black Forest,A,,BLACK FOREST,Black Forest Primary School,"679 South Rd, BLACK FOREST",,138.573,-34.9607
Badcoe,Black Forest East,A,,BLACK FOREST,Clarence Park Community Centre,"72-74 East Ave, BLACK FOREST",,138.580696,-34.960802
Badcoe,Edwardstown,A,,EDWARDSTOWN,Southpoint Church of Christ,"68 De Laine Ave, EDWARDSTOWN",,138.5648541,-34.97443758
Badcoe,Goodwood,A,,GOODWOOD,Goodwood Primary School,"140 Goodwood Rd, GOODWOOD",,138.589,-34.9515
Badcoe,Keswick,F,,KESWICK,National Servicemen's Association,"41 Surrey Rd, KESWICK",,138.572767,-34.945611
Badcoe,Kurralta Park,N,,KURRALTA PARK,Plympton/ Kurralta Park Guide Hall,"Cnr Daly St & Cross Tce, KURRALTA PARK",,138.56374,-34.95114
Badcoe,Netley,A,adj Joe Wells Reserve,NETLEY,Netley Kindergarten,"Comet Ave, NETLEY",,138.546985,-34.954278
Badcoe,Park Holme South,A,,PARK HOLME,Ascot Park Primary School,"1-37 Pildappa Ave, PARK HOLME",,138.556,-34.9905
Badcoe,Plympton,A,,PLYMPTON,Plympton Primary School,"19 Owen St, PLYMPTON",,138.55683,-34.960849
Badcoe,Plympton Park,F,,PLYMPTON PARK,Plympton Glenelg RSL Hall,"464 Marion Rd, PLYMPTON PARK",,138.555,-34.9703
Badcoe,Plympton West,F,,PLYMPTON,Plympton International College,"21a Errington St, PLYMPTON",,138.54768,-34.96232
Badcoe,Richmond,A,,RICHMOND,Tenison Woods Catholic School,"68 Brooker Tce, RICHMOND",,138.562,-34.9399
Badcoe,South Plympton,A,,SOUTH PLYMPTON,Forbes Primary School,"80 Thomas St, SOUTH PLYMPTON",,138.558,-34.9781
Badcoe,South Plympton North,A,,SOUTH PLYMPTON,Plympton South Kindergarten,"13 Yapinga St, SOUTH PLYMPTON",,138.560659,-34.97005
Black,Hallett Cove,A,,HALLETT COVE,Hallett Cove R-12 School,"2-30 Gledsdale Rd, HALLETT COVE",,138.511,-35.0771
Black,Hallett Cove East,F,,HALLETT COVE,Hallett Cove East Primary School,"Quailo Ave, HALLETT COVE",,138.517448,-35.070877
Black,Hallett Cove South,A,,HALLETT COVE,Hallett Cove South Primary School,"Livonia St, HALLETT COVE",,138.504,-35.0833
Black,Marino,A,,MARINO,Marino Community Hall,"44 Newland Ave, MARINO",,138.518,-35.0428
Black,Seacliff,A,,SEACLIFF,Seacliff Uniting Church Hall,"5-7 Wheatland St, SEACLIFF",,138.522985,-35.031709
Black,Seacombe Heights,A,via Gate 1,SEACOMBE HEIGHTS,Seaview High School,"78-124 Seacombe Rd, SEACOMBE HEIGHTS",,138.545894,-35.02983
Black,Seaview Downs,A,,SEAVIEW DOWNS,Seaview Downs Primary School,"26-44 Ross St, SEAVIEW DOWNS",,138.535626,-35.040721
Black,Sheidow Park,A,,SHEIDOW PARK,Sheidow Park School,"21-43 Adams Rd, SHEIDOW PARK",,138.53124,-35.07171
Black,Sheidow Park South,A,,SHEIDOW PARK,Woodend Primary School,"10-22 Edward Beck Dr, SHEIDOW PARK",,138.536,-35.0791
Black,South Brighton,N,,SOUTH BRIGHTON,Lou Kesting Community Hall,"Dover Square Brdwy, SOUTH BRIGHTON",,138.5281,-35.025396
Bragg,Beaumont,A,,BEAUMONT,Beaumont Scout Hall,"42 Cooper Pl, BEAUMONT",,138.658358,-34.9449
Bragg,Burnside,F,Gymnasium via Sturt St,BURNSIDE,Burnside Primary School,"11 High St, BURNSIDE",,138.660955,-34.936155
Bragg,Glen Osmond,F,,GLEN OSMOND,St Saviour's Anglican Church,"2 Pridmore Rd, GLEN OSMOND",,138.644805,-34.962859
Bragg,Glenunga,A,Gymnasium via Conyngham St,GLENUNGA,Glenunga International High School,"99 L'Estrange St, GLENUNGA",,138.635693,-34.949223
Bragg,Kensington,A,,KENSINGTON,Marryatville Primary School,"54 Dankel Ave, KENSINGTON",,138.6494,-34.92491
Bragg,Linden Park,A,OSHC building,LINDEN PARK,Linden Park Primary School,"14 Hay Rd, LINDEN PARK",,138.647,-34.9475
Bragg,Magill South,A,,MAGILL,Morialta Uniting Church ,"26 Chapel St, MAGILL",,138.6732975,-34.91540628
Bragg,Parkside,F,Gymnasium via Young St,PARKSIDE,Parkside Primary School,"12 Robsart St, PARKSIDE",,138.62,-34.9446
Bragg,Rose Park,A,,ROSE PARK,Rose Park Primary School Gym,"54 Alexandra Ave, ROSE PARK",,138.62877,-34.93144
Bragg,Tusmore,F,via Fisher St,TUSMORE,Burnside City Uniting Church,"384 Portrush Rd, TUSMORE",,138.643,-34.9375
Bragg,Wattle Park,A,,STONYFELL,St Peters Girls School ,"6 Stonyfell Rd, STONYFELL",,138.6694484,-34.93025326
Chaffey,Barmera,A,,BARMERA,Barmera Primary School,"1 Rumbold Dr, BARMERA",,140.4767059,-34.2525186
