id,name,divisions,suburb,postcode,premises,address_partial,entrance_desc,lat,lon,wheelchair_access
3,Adelaide,Adelaide,Adelaide,5000,Christian Brothers College (Senior Campus),214 Wakefield St,Enter via gym (Wakefield Street),-34.9279,138.609,Full
4,Adelaide South,Adelaide,Adelaide,5000,Gilles St Primary School,91-93 Gilles St,,-34.9344,138.605,Assisted
5,Adelaide West,Adelaide,Adelaide,5000,Adelaide High School,West Tce,,-34.9256,138.587,Full
6,Nailsworth,Adelaide,Nailsworth,5083,Nailsworth Primary School,2 Balfour St,,-34.8828,138.603,Assisted
7,North Adelaide,Adelaide,North Adelaide,5006,North Adelaide Primary School,62-80 Tynte St,,-34.9051,138.598,Assisted
8,North Adelaide East,Adelaide,North Adelaide,5006,St Cyprian's Anglican Church,70 Melbourne St,,-34.9061,138.609,Assisted
9,Prospect,Adelaide,Prospect,5082,Prospect Primary School,27 Gladstone Rd,Enter via Braund Road,-34.8852,138.59,Assisted
10,Prospect North,Adelaide,Prospect,5082,Prospect North Primary School,30 Stuart Rd,,-34.8753,138.596,Assisted
11,Prospect South,Adelaide,Prospect,5082,Blackfriars Priory School,22-24 Highbury St,Enter via Highbury Street,-34.8954,138.597,Full
12,Walkerville,Adelaide,Walkerville,5081,Walkerville Primary School,159 Stephen Tce,,-34.8953,138.613,Assisted
13,Walkerville North,Adelaide,Walkerville,5081,St Monica's Parish School,92 North East Rd,,-34.8876,138.616,Assisted
15,Ascot Park,Badcoe,Ascot Park,5043,Active Elders Association,27a Charles St,,-34.9908,138.563,Full
16,Black Forest,Badcoe,Black Forest,5035,Black Forest Primary School,679 South Rd,Enter via School Ave,-34.9607,138.573,Assisted
17,Black Forest East,Badcoe,Black Forest,5035,Clarence Park Community Centre,72-74 East Ave,Enter via Canterbury Tce,-34.9608,138.581,Assisted
18,Edwardstown,Badcoe,Edwardstown,5039,Southpoint Church of Christ,68 De Laine Ave,,-34.9744,138.565,Assisted
19,Goodwood,Badcoe,Goodwood,5034,Goodwood Primary School,140 Goodwood Rd,,-34.9515,138.589,Assisted
20,Keswick,Badcoe,Keswick,5035,Richmond Primary School,8 Surrey Rd,,-34.9434,138.572,Full
21,Kurralta Park,Badcoe,Kurralta Park,5037,Seeds Uniting Church,1-3 Hare St,,-34.9475,138.571,Assisted
22,Netley,Badcoe,Netley,5037,Netley Kindergarten,Comet Ave,,-34.9543,138.547,Assisted
23,Park Holme South,Badcoe,Park Holme,5043,Ascot Park Primary School,1-37 Pildappa Ave,,-34.9905,138.556,Assisted
24,Plympton,Badcoe,Plympton,5038,Plympton Primary School,19 Owen St,Enter via Keily and Owen Street gate,-34.9608,138.557,Assisted
25,Plympton Park,Badcoe,Plympton Park,5038,Plympton Glenelg RSL Hall,464 Marion Rd,,-34.9703,138.555,Full
26,Richmond,Badcoe,Richmond,5033,West Adelaide Football Club,57 Milner Road,,-34.93664472,138.5664787,Assisted
27,South Plympton,Badcoe,South Plympton,5038,Forbes Primary School,80 Thomas St,,-34.9781,138.558,Assisted
28,South Plympton North,Badcoe,South Plympton,5038,Vermont Uniting Church,576 Cross Rd,,-34.9675,138.56,Assisted
30,Hallett Cove,Black,Hallett Cove,5158,Hallett Cove R-12 School,2-30 Gledsdale Rd,Enter via Gate 1,-35.0771,138.511,Assisted
31,Hallett Cove East,Black,Hallett Cove,5158,Hallett Cove East Primary School,Quailo Ave,,-35.0709,138.517,Full
32,Hallett Cove South,Black,Hallett Cove,5158,Hallett Cove South Primary School,Livonia St,Enter via Gretel Crs,-35.0833,138.504,Assisted
33,Marino,Black,Marino,5049,Marino Community Hall,44 Newland Ave,,-35.0428,138.518,Assisted
34,Seacliff,Black,Seacliff,5049,Seacliff Uniting Church,5-7 Wheatland St,,-35.0317,138.523,Assisted
35,Seacliff South,Black,Seacliff,5049,Kauri Community and Sports Centre,Lipson Ave,,-35.0391,138.523,Assisted
36,Seacombe Heights,Black,Seacombe Heights,5047,Seaview High School,78-124 Seacombe Rd,,-35.0298,138.546,Assisted
37,Seaview Downs,Black,Seaview Downs,5049,Seaview Downs Primary School,26-44 Ross St,,-35.0407,138.536,Assisted
38,Seaview Downs North,Black,Seaview Downs,5049,All Nations Baptist Church,168-170 Seacombe Rd,,-35.0296,138.54,Assisted
39,Sheidow Park,Black,Sheidow Park,5158,Sheidow Park Primary School,21-43 Adams Rd,,-35.0717,138.531,Full
40,Sheidow Park South,Black,Sheidow Park,5158,Woodend Primary School,10-22 Edward Beck Dr,,-35.0791,138.536,Assisted
42,Beaumont,Bragg,Beaumont,5066,Beaumont Scout Hall,42 Cooper Pl,,-34.9449,138.658,Assisted
43,Burnside,Bragg,Burnside,5066,St David's Anglican Church,492 Glynburn Rd,,-34.9356,138.66,Assisted
44,Dulwich,Bragg,Dulwich,5065,St Peter Claver Church Hall,1a Stuart Rd,,-34.9342,138.631,Assisted
45,Glen Osmond,Bragg,Glen Osmond,5064,St Saviour's Anglican Church,2 Pridmore Rd,Enter Pridmore Rd,-34.9629,138.645,Full
