ec_id,Premise Name,Polling Place Name,Address,City,State,Postcode,Location Within Premise,Disabled Access,Premise Latitude,Premise Longitude,Division,Dual polling place,Vision impaired voting service
,Blackmans Bay Primary School,Blackmans Bay Primary School,"177 Roslyn Ave,",Blackmans Bay,TAS,7052,,With Assistance,-42.996938,147.3212188,Franklin,,
,Beaconsfield Senior Citizens' Hall,Beaconsfield Senior Citizens' Hall,"Weld St,",BEACONSFIELD,TAS,7270,Beaconsfield Community Centre,With Assistance,-41.202855,146.81868,Bass,,
,Beauty Point Uniting Church Hall,Beauty Point Uniting Church Hall,"7 Beatty St,",BEAUTY POINT,TAS,7270,,With Assistance,-41.148875,146.8174034,Bass,,
,Branxholm Community Hall,Branxholm Community Hall,"Stoke St,",BRANXHOLM,TAS,7261,,None,-41.16713,147.73628,Bass,,
,Bridport Hall,Bridport Hall,"Main St,",BRIDPORT,TAS,7262,,With Assistance,-41.00278,147.3948,Bass,,
,Dilston War Memorial Hall,Dilston War Memorial Hall,"308 John Lees Dr,",DILSTON,TAS,7252,,With Assistance,-41.33693,147.08171,Bass,Yes,
,East Launceston Primary School - P&F Assoc.,East Launceston Primary School - P&F Assoc.,"Oxford St,",EAST LAUNCESTON,TAS,7250,pavilion site,With Assistance,-41.44152,147.15203,Bass,,
,Exeter High School,Exeter High School,"28 Glen Ard Mohr Rd,",EXETER,TAS,7275,gymnasium,With Assistance,-41.30062,146.95752,Bass,,
,George Town Memorial Hall,George Town Memorial Hall,"29-67 Macquarie St,",GEORGE TOWN,TAS,7253,,With Assistance,-41.10686,146.82194,Bass,Yes,
,George Town South Primary School,George Town South Primary School,"48-70 Franklin St,",GEORGE TOWN,TAS,7253,,With Assistance,-41.1126,146.83307,Bass,Yes,
,Gladstone Hall,Gladstone Hall,"1 Carr St,",GLADSTONE,TAS,7264,,With Assistance,-40.96024,148.00863,Bass,,
,St Canice Church Hall,St Canice Church Hall,"33 Glengarry Rd,",GLENGARRY,TAS,7275,,With Assistance,-41.33496863,146.8706875,Bass,,
,Gravelly Beach Main Hall,Gravelly Beach Main Hall,"Edinburgh Park, off Gravelly Beach Rd,",GRAVELLY BEACH,TAS,7276,,With Assistance,-41.28332,146.97134,Bass,,
,Hillwood Memorial Hall,Hillwood Memorial Hall,"280 Jetty Rd,",HILLWOOD,TAS,7252,,With Assistance,-41.23623,146.97495,Bass,Yes,
,Invermay Primary School,Invermay Primary School,"35-43 Mayne St,",INVERMAY,TAS,7248,also via Holbrook St,With Assistance,-41.42136,147.1316,Bass,Yes,
,St Finn Barr's School,St Finn Barr's School,"247 Invermay Rd,",INVERMAY,TAS,7248,,With Assistance,-41.41565,147.13195,Bass,Yes,
,Karoola Hall,Karoola Hall,"1126 Pipers River Rd,",KAROOLA,TAS,7267,,With Assistance,-41.25423,147.14806,Bass,Yes,
,Kelso Community Centre,Kelso Community Centre,"Foreshore Rd,",KELSO,TAS,7270,,With Assistance,-41.10353,146.79368,Bass,,
,Y.M.C.A. Centre,Y.M.C.A. Centre,"8a Blaydon St,",KINGS MEADOWS,TAS,7249,,With Assistance,-41.46782,147.15942,Bass,,
,Lady Barron Memorial Hall,Lady Barron Memorial Hall,"Main Rd,",LADY BARRON,TAS,7255,,With Assistance,-40.2110674,148.2398061,Bass,,
,Chalmers Hall,Chalmers Hall,"163 St John St,",LAUNCESTON,TAS,7250,,With Assistance,-41.440961,147.142126,Bass,,
,Pilgrim Hall,Pilgrim Hall,"Pilgrim Uniting Church, 36 Paterson St,",LAUNCESTON,TAS,7250,,None,-41.43659,147.13718,Bass,,
,Lebrina Memorial Hall,Lebrina Memorial Hall,"905 Golconda Rd,",LEBRINA,TAS,7254,,With Assistance,-41.1776544,147.2273484,Bass,Yes,
,Legana Memorial Hall,Legana Memorial Hall,"43 Fulton St,",LEGANA,TAS,7277,,With Assistance,-41.36317,147.04658,Bass,,
