ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Bass,Beaconsfield,92 Weld St,,Beaconsfield,TAS,7270,,Beaconsfield Community Centre,Assistance,,-41.202855,146.81868,Beaconsfield Senior Citizens' Hall
,Bass,Beauty Point,7 Beatty St,,Beauty Point,TAS,7270,,,Assistance,,-41.148875,146.8174034,Beauty Point Uniting Church Hall
,Bass,Branxholm,9 Stoke St,,Branxholm,TAS,7261,,,Assistance,,-41.16713,147.73628,Branxholm Community Hall
,Bass,Bridport,Main St,,Bridport,TAS,7262,Sports hall,,Assistance,,-41.00278,147.3948,Bridport Hall
,Bass,Dilston,308 John Lees Dr,,Dilston,TAS,7252,,,Assistance,,-41.33693,147.08171,Dilston War Memorial Hall
,Bass,East Launceston,18 Mary St,,East Launceston,TAS,7250,Gilligan Hall,,Assistance,,-41.44152,147.15203,East Launceston Primary School
,Bass,Exeter,28 Glen Ard Mohr Rd,,Exeter,TAS,7275,Gymnasium,,Assistance,,-41.30062,146.95752,Exeter High School
,Bass,George Town,29-67 Macquarie St,,George Town,TAS,7253,,,Assistance,,-41.10686,146.82194,George Town Memorial Hall
,Bass,George Town South,48-70 Franklin St,,George Town,TAS,7253,Gymnasium,,Assistance,,-41.1126,146.83307,George Town South Primary School
,Bass,Gladstone,1 Carr St,,Gladstone,TAS,7264,,,Assistance,,-40.96024,148.00863,Gladstone Hall
,Bass,Glengarry,33 Glengarry Rd,,Glengarry,TAS,7275,,,Assistance,,-41.33496863,146.8706875,St Canice Church Hall
,Bass,Gravelly Beach,401 Gravelly Beach Rd,,Gravelly Beach,TAS,7276,,,Assistance,,-41.28332,146.97134,"Gravelly Beach Main Hall, Edinburgh Park"
,Bass,Hillwood,280 Jetty Rd,,Hillwood,TAS,7252,,,Assistance,,-41.23623,146.97495,Hillwood Memorial Hall
,Bass,Invermay,4 Invermay Road,,Inveresk,TAS,7248,Tram Room 28,,Assistance,,-41.428417,147.138618,The Tramsheds Function Centre
,Bass,Inveresk,35-43 Mayne St,,Invermay,TAS,7248,,Also via Holbrook St,Assistance,,-41.42136,147.1316,Invermay Primary School
,Bass,Karoola,1126 Pipers River Rd,,Karoola,TAS,7267,,,Assistance,,-41.25423,147.14806,Karoola Hall
,Bass,Kelso,Foreshore Rd,,Kelso,TAS,7270,,,Assistance,,-41.10353,146.79368,Kelso Community Centre
,Bass,Lady Barron,10 Main St,,Lady Barron,TAS,7255,,,Assistance,,-40.21062673,148.2393381,Lady Barron Memorial Hall
,Bass,Launceston Central,163 St John St,,Launceston,TAS,7250,,,Assistance,,-41.440961,147.142126,Chalmers Hall
,Bass,Launceston,Cornwall Square,182-192 Cimitiere St,Launceston,TAS,7250,,,Assistance,,-41.43491442,147.1360385,Launceston Voting Centre
,Bass,Prospect,30-32 Ralph St,,Launceston,TAS,7250,Gymnasium,,None,,-41.47551688,147.1310605,Prospect High School
,Bass,Lebrina,905 Golconda Rd,,Lebrina,TAS,7254,,,Assistance,,-41.17742811,147.2274391,Lebrina Memorial Hall
,Bass,Legana,43 Fulton St,,Legana,TAS,7277,,,Assistance,,-41.36317,147.04658,Legana Memorial Hall
,Bass,Lilydale,1949 Main Rd,,Lilydale,TAS,7268,,,Assistance,,-41.25235,147.21586,Lilydale Memorial Hall
,Bass,Mowbray,36 Button St,,Mowbray,TAS,7248,Sinclair Trust Tower Building,,Assistance,,-41.40867,147.12816,Launceston Church Grammar School
,Bass,Newnham,128 George Town Rd,,Newnham,TAS,7248,,,Assistance,1,-41.38729,147.12779,Launceston North Uniting Church
,Bass,Newstead,148 Abbott St,,Newstead,TAS,7250,Basketball court,Entrance off Wentworth St,Assistance,,-41.4470206,147.1572394,Police Citizens & Youth Club
