ec_id,Division,Polling_Place_Name,Premise_Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,Premise_State,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise_Latitude,Premise_Longitude
,Bass,Beaconsfield,Beaconsfield Senior Citizens' Hall,92 Weld St,,Beaconsfield,TAS,7270,,Beaconsfield Community Centre,Assistance,,-41.202855,146.81868
,Bass,Beauty Point,Beauty Point Uniting Church Hall,7 Beatty St,,Beauty Point,TAS,7270,,,Assistance,,-41.148875,146.8174034
,Bass,Branxholm,Branxholm Community Hall,9 Stoke St,,Branxholm,TAS,7261,,,Assistance,,-41.16713,147.73628
,Bass,Bridport,Bridport Hall,Main St,,Bridport,TAS,7262,Sports hall,,Assistance,,-41.00278,147.3948
,Bass,Dilston,Dilston Fire Station,642 John Lees Dr,,Dilston,TAS,7252,,,Assistance,,-41.31283,147.05309
,Bass,East Launceston,East Launceston Primary School,18 Mary St,,East Launceston,TAS,7250,Gilligan Hall,,Assistance,,-41.44152,147.15203
,Bass,Exeter,Exeter High School,28 Glen Ard Mohr Rd,,Exeter,TAS,7275,Gym,,Assistance,,-41.30062,146.95752
,Bass,George Town,George Town Memorial Hall,29-67 Macquarie St,,George Town,TAS,7253,,,Assistance,,-41.10686,146.82194
,Bass,George Town South,George Town South Primary School,48-70 Franklin St,,George Town,TAS,7253,Gym,,Assistance,,-41.1126,146.83307
,Bass,Gladstone,Gladstone Hall,1 Carr St,,Gladstone,TAS,7264,,,Assistance,,-40.96024,148.00863
,Bass,Glengarry,St Canice Church Hall,33 Glengarry Rd,,Glengarry,TAS,7275,,,Assistance,,-41.33496863,146.8706875
,Bass,Gravelly Beach,Gravelly Beach Main Hall,401 Gravelly Beach Rd,,Gravelly Beach,TAS,7276,Edinburgh Park,,Assistance,,-41.28332,146.97134
,Bass,Hillwood,Hillwood Memorial Hall,280 Jetty Rd,,Hillwood,TAS,7252,,,Assistance,,-41.23623,146.97495
,Bass,Invermay,The Tramsheds Function Centre,4 Invermay Rd,,Inveresk,TAS,7248,Tram Room 28,,Assistance,,-41.428417,147.138618
,Bass,Inveresk,Invermay Primary School,35-43 Mayne St,,Invermay,TAS,7248,,Also via Holbrook St,Assistance,,-41.42136,147.1316
,Bass,Karoola,Karoola Hall,1126 Pipers River Rd,,Karoola,TAS,7267,,,Assistance,,-41.25423,147.14806
,Bass,Kelso,Kelso Community Centre,Foreshore Rd,,Kelso,TAS,7270,,,Assistance,,-41.10353,146.79368
,Bass,Kings Meadows,Kings Meadows Community Hub,8A Blaydon St,,Kings Meadows,TAS,7249,Willis Hall,,Assistance,,-41.46782,147.15942
