ec_id,name,premises,address,lat,lon,state,wheelchair_access
,Albany PCYC,,"77 Sanford Road, CENTENNIAL PARK WA 6330",-35.01046,117.88208,WA,Wheelchair Access
,Albany Primary School,,"Suffolk Street, MOUNT CLARENCE WA 6330",-35.01821,117.89078,WA,Wheelchair Access
,Albany Sea Rescue Hall,,"Swarbrick Street, EMU POINT WA 6330",-34.99427,117.94353,WA,
,Albany Senior Citizens Centre,,"122 Grey Street West, ALBANY WA 6330",-35.02377,117.8828,WA,Wheelchair Access
,Albany Surf Life Saving Club,,"4 Flinders Parade, MIDDLETON BEACH WA 6330",-35.02421,117.91597,WA,Wheelchair Access
,Elleker Hall,,"Hassell Street, ELLEKER WA 6330",-35.00847,117.72988,WA,
,Flinders Park Primary School,,"Yatana Road, BAYONET HEAD WA 6330",-34.97843,117.93083,WA,Wheelchair Access
,Great Southern Grammar,,"244 Nanarup Road, NANARUP WA 6330",-34.94764,117.97064,WA,Wheelchair Access
,King River Hall,,"1520 Millbrook Road, KING RIVER WA 6330",-34.93391,117.89681,WA,
,Little Grove Primary School,,"33 Gordon Street, LITTLE GROVE WA 6330",-35.066645,117.867267,WA,Wheelchair Access
,Mount Lockyer Primary School,,"Humphreys Street, LOCKYER WA 6330",-35.00205,117.85608,WA,
,Napier Hall,,"2151 Chester Pass Road, NAPIER WA 6330",-34.8333,117.9608,WA,
,North Albany Senior High School,,"47 Anson Road, ORANA WA 6330",-34.99085,117.86263,WA,Wheelchair Access
,Redmond Hall,,"Redmond-Hay River Road, REDMOND WA 6327",-34.88647,117.69151,WA,
,Spencer Park Primary School,,"46 Hardie Road, SPENCER PARK WA 6330",-35.00519,117.90087,WA,
,Wellstead Community Resource Centre,,"49 Windsor Road, WELLSTEAD WA 6328",-34.49298,118.60681,WA,
,Yakamia Primary School,,"26 Beaufort Road, YAKAMIA WA 6330",-35.0025,117.87299,WA,
,Youngs Siding Hall,,"29 Station Street, YOUNGS SIDING WA 6330",-35.012413,117.522286,WA,
,Armadale Primary School,,"1 Carradine Road, ARMADALE WA 6112",-32.14763,116.02618,WA,
,Armadale Senior High School,,"169 South Western Highway, ARMADALE WA 6112",-32.158423,116.013592,WA,Wheelchair Access
,Australian Christian College Darling Downs,,"10 Ninth Road, BROOKDALE WA 6112",-32.174681,116.004294,WA,Wheelchair Access
,Cecil Andrews Senior High School,,"23 Seville Drive, SEVILLE GROVE WA 6112",-32.1408,115.9924,WA,
,Challis Primary School,,"40 Braemore Street, ARMADALE WA 6112",-32.13903,115.99975,WA,
,Dale Christian School,,"150 Forrest Road, ARMADALE WA 6112",-32.159326,115.998736,WA,
,Free Reformed Church,,"84 Fifth Road, ARMADALE WA 6112",-32.14992,116.0049,WA,Wheelchair Access
,Grovelands Primary School,,"14 Grovelands Drive, CAMILLO WA 6111",-32.11952,115.99868,WA,
,Kelmscott Primary School,,"River Road, KELMSCOTT WA 6111",-32.11959,116.02049,WA,
,Kelmscott Senior High School,,"50 Third Avenue, KELMSCOTT WA 6111",-32.12035,116.00989,WA,Wheelchair Access
,Kelmscott Voting Centre,,"4/2944 Albany Highway, KELMSCOTT WA 6111",-32.122252,116.018383,WA,Wheelchair Access
,Kingsley Primary School,,"11 Lathwell Street, ARMADALE WA 6112",-32.13432,116.01545,WA,Wheelchair Access
,Westfield Park Primary School,,"Hemingway Drive, WESTFIELD WA 6111",-32.11032,116.00533,WA,Wheelchair Access
,Balcatta Primary School,,"387 Main Street, BALCATTA WA 6021",-31.8811,115.82798,WA,
,Balcatta Senior High School,,"Amelia Street , BALCATTA WA 6021",-31.87603,115.8132,WA,Wheelchair Access
,Osborne Park Community Centre,,"11 Royal Street, TUART HILL WA 6060",-31.89629,115.82953,WA,Wheelchair Access
,Osborne Primary School,,"155 Albert Street, OSBORNE PARK WA 6017",-31.89978,115.82533,WA,
,St Denis School,,"2 Orchid Street, JOONDANNA WA 6060",-31.90999,115.8441,WA,
,Takari Primary School,,"5 Rickman Street, BALCATTA WA 6021",-31.86981,115.82153,WA,
,Tuart Hill Primary School,,"Banksia Street, TUART HILL WA 6060",-31.901238,115.840131,WA,Wheelchair Access
,Westminster Primary School,,"30 Marloo Road, WESTMINSTER WA 6061",-31.869631,115.838157,WA,Wheelchair Access
,Baldivis Gardens Primary School,,"1 Nadine Promenade, BALDIVIS WA 6171",-32.300823,115.810062,WA,Wheelchair Access
,Baldivis Primary School,,"214 Fifty Road, BALDIVIS WA 6171",-32.307676,115.81767,WA,
,John Wellard Community Centre,,"Cnr Runnymede Gate and The Strand, WELLARD WA 6170",-32.262402,115.815535,WA,Wheelchair Access
