ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Albany District - Election Day and Early Polling Place,,"Dog Rock Boulevarde, Shop 10, 302 Middleton Road, ALBANY WA 6330",-35.019321,117.884819,Albany,WA,Full
,Albany PCYC,,"77 Sanford Road, CENTENNIAL PARK WA 6330",-35.01046000,117.88208000,Albany,WA,Full
,Albany Primary School,,"32 Suffolk Street, MOUNT CLARENCE WA 6330",-35.01821000,117.89078000,Albany,WA,Full
,Albany Sea Rescue Hall,,"1 Swarbrick Street, EMU POINT WA 6330",-34.99427000,117.94353000,Albany,WA,None
,Albany Town Hall,,"Albany Town Hall, 217 York Street, ALBANY WA 6330",-35.023733,117.88336,Albany,WA,None
,Elleker Hall,,"19 Hassell Street, ELLEKER WA 6330",-35.00847000,117.72988000,Albany,WA,None
,Flinders Park Primary School,,"51 Yatana Road, BAYONET HEAD WA 6330",-34.97843000,117.93083000,Albany,WA,Full
,Great Southern Grammar,,"244 Nanarup Road, KALGAN WA 6330",-34.94764000,117.97064000,Albany,WA,Full
,Kendenup Agricultural Pavilion,,"150 Beverley Road, KENDENUP WA 6323",-34.49088300,117.59395100,Albany,WA,None
,King River Hall,,"1520 Millbrook Road, KING RIVER WA 6330",-34.93391000,117.89681000,Albany,WA,Full
,Little Grove Primary School,,"33 Gordon Street, LITTLE GROVE WA 6330",-35.06664500,117.86726700,Albany,WA,Full
,Mount Lockyer Primary School,,"43 Admiral Street, LOCKYER WA 6330",-35.00205000,117.85608000,Albany,WA,Full
,Napier Hall,,"2151 Chester Pass Road, NAPIER WA 6330",-34.83330000,117.96080000,Albany,WA,None
,Narrikup District Hall,,"Shire of Plantagenet, Beech Road, NARRIKUP WA 6326",-34.77251000,117.70245000,Albany,WA,None
,North Albany Senior High School,,"47 Anson Road, ORANA WA 6330",-34.99085000,117.86263000,Albany,WA,None
,Plantagenet District Hall,,"Memorial Road, MOUNT BARKER WA 6324",-34.62467000,117.66271000,Albany,WA,None
,Porongurup District Hall,,"2257 Porongurup Road, PORONGURUP WA 6324",-34.67380300,117.90638700,Albany,WA,None
,Redmond Hall,,"830 Redmond-Hay River Road, REDMOND WA 6327",-34.88647000,117.69151000,Albany,WA,None
,Spencer Park Primary School,,"26 Hardie Road, SPENCER PARK WA 6330",-35.00519000,117.90087000,Albany,WA,None
,Wellstead Community Resource Centre,,"49 Windsor Road, WELLSTEAD WA 6328",-34.49287119,118.605617,Albany,WA,None
,Yakamia Primary School,,"26 Beaufort Road, YAKAMIA WA 6330",-35.00250000,117.87299000,Albany,WA,Full
,Youngs Siding Hall,,"29 Station Street, YOUNGS SIDING WA 6330",-35.01241300,117.52228600,Albany,WA,None
,Armadale District - Election Day and Early Polling Place,,"2 & 3/36-40 Commerce Avenue, ARMADALE WA 6112",-32.1553734,116.0132768,Armadale,WA,Full
,Armadale Primary School,,"1 Carradine Road, BEDFORDALE WA 6112",-32.14763000,116.02618000,Darling Range,WA,None
,Armadale Senior High School,,"169 South Western Highway, ARMADALE WA 6112",-32.15842300,116.01359200,Armadale,WA,Full
,Cecil Andrews College,,"39 Seville Drive, SEVILLE GROVE WA 6112",-32.14080000,115.99240000,Armadale,WA,Full
,Challis Community Primary School,,"40 Braemore Street, ARMADALE WA 6112",-32.13903000,115.99975000,Armadale,WA,Full
,Clifton Hills Primary School,,"1 Butler Pass, KELMSCOTT WA 6111",-32.10903300,116.02152000,Armadale,WA,Full
,Dale Christian College,,"150 Forrest Road, ARMADALE WA 6112",-32.15932600,115.99873600,Oakford,WA,Full
